Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,2.281056E+04,1.333770E+04,7.904534E-01,1.244542E+00,3.520305E+04,3.554220E+04,1.219600E+00,3.316923E+00,1.544929E+05,4.823107E+04,5.348158E+00,4.503185E+00
02:00:00,2.367449E+04,1.208915E+04,8.203957E-01,1.128040E+00,3.605679E+04,3.315201E+04,1.249168E+00,3.093852E+00,1.553741E+05,4.393585E+04,5.378658E+00,4.102055E+00
03:00:00,2.418841E+04,1.133313E+04,8.382080E-01,1.057512E+00,3.659637E+04,3.128778E+04,1.267867E+00,2.919898E+00,1.558924E+05,4.066404E+04,5.396631E+00,3.796569E+00
04:00:00,2.453301E+04,1.068449E+04,8.501523E-01,9.970125E-01,3.698441E+04,2.968223E+04,1.281318E+00,2.770083E+00,1.562573E+05,3.782533E+04,5.409288E+00,3.531531E+00
05:00:00,2.434565E+04,1.054828E+04,8.436611E-01,9.843072E-01,3.685466E+04,2.879787E+04,1.276830E+00,2.687566E+00,1.560953E+05,3.606425E+04,5.403687E+00,3.367083E+00
06:00:00,2.307370E+04,1.393189E+04,7.995847E-01,1.300063E+00,3.565691E+04,3.340052E+04,1.235342E+00,3.117133E+00,1.549360E+05,4.301851E+04,5.363572E+00,4.016358E+00
07:00:00,2.135075E+04,2.169602E+04,7.398780E-01,2.024719E+00,3.399919E+04,4.315763E+04,1.177921E+00,4.027946E+00,1.535006E+05,5.916228E+04,5.313917E+00,5.524377E+00
08:00:00,2.069150E+04,2.871691E+04,7.170322E-01,2.680143E+00,3.337721E+04,5.150880E+04,1.156384E+00,4.807741E+00,1.528460E+05,7.691156E+04,5.291282E+00,7.183285E+00
09:00:00,2.391811E+04,2.918695E+04,8.288457E-01,2.724058E+00,3.659856E+04,5.350856E+04,1.267993E+00,4.994493E+00,1.551833E+05,8.834956E+04,5.372192E+00,8.252375E+00
10:00:00,2.495626E+04,2.876963E+04,8.648243E-01,2.684916E+00,3.762909E+04,5.450198E+04,1.303669E+00,5.086922E+00,1.560598E+05,9.581548E+04,5.402434E+00,8.949184E+00
11:00:00,2.477705E+04,2.701732E+04,8.586104E-01,2.521169E+00,3.746366E+04,5.376824E+04,1.297920E+00,5.018080E+00,1.559574E+05,9.905303E+04,5.398838E+00,9.250683E+00
12:00:00,2.468673E+04,2.406709E+04,8.554732E-01,2.245706E+00,3.740394E+04,5.134212E+04,1.295842E+00,4.791392E+00,1.558827E+05,9.847011E+04,5.396248E+00,9.195599E+00
13:00:00,2.487183E+04,2.461939E+04,8.618799E-01,2.297144E+00,3.761948E+04,5.236222E+04,1.303302E+00,4.886444E+00,1.560140E+05,1.022255E+05,5.400794E+00,9.545892E+00
14:00:00,2.535138E+04,2.788004E+04,8.784915E-01,2.601359E+00,3.812572E+04,5.625905E+04,1.320834E+00,5.250110E+00,1.563755E+05,1.100747E+05,5.413306E+00,1.027900E+01
15:00:00,2.556369E+04,3.131533E+04,8.858438E-01,2.921906E+00,3.836601E+04,6.026157E+04,1.329152E+00,5.623720E+00,1.565546E+05,1.170324E+05,5.419496E+00,1.092912E+01
16:00:00,2.491923E+04,3.444947E+04,8.635079E-01,3.214355E+00,3.776031E+04,6.379144E+04,1.308165E+00,5.953187E+00,1.560025E+05,1.209065E+05,5.400384E+00,1.129099E+01
17:00:00,2.221028E+04,3.796633E+04,7.696345E-01,3.542498E+00,3.510815E+04,6.770686E+04,1.216289E+00,6.318573E+00,1.537023E+05,1.228086E+05,5.320776E+00,1.146838E+01
18:00:00,1.721172E+04,4.094174E+04,5.964232E-01,3.820114E+00,3.016841E+04,7.091565E+04,1.045174E+00,6.618003E+00,1.496115E+05,1.210302E+05,5.179224E+00,1.130203E+01
19:00:00,1.400915E+04,3.817435E+04,4.854481E-01,3.561893E+00,2.698684E+04,6.773699E+04,9.349762E-01,6.321349E+00,1.468529E+05,1.093879E+05,5.083815E+00,1.021458E+01
20:00:00,1.413449E+04,2.925498E+04,4.897924E-01,2.729661E+00,2.707553E+04,5.774497E+04,9.380649E-01,5.388833E+00,1.466063E+05,9.008669E+04,5.075309E+00,8.411778E+00
21:00:00,1.437947E+04,2.573678E+04,4.982830E-01,2.401398E+00,2.723810E+04,5.303635E+04,9.436933E-01,4.949375E+00,1.466832E+05,7.910381E+04,5.077937E+00,7.385735E+00
22:00:00,1.483293E+04,2.363878E+04,5.139980E-01,2.205687E+00,2.757053E+04,4.973371E+04,9.552067E-01,4.641246E+00,1.472950E+05,7.096450E+04,5.099092E+00,6.625815E+00
