Electricity:Facility,ElectricityProduced:Facility,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature
6336.958632810743,0,18196.037465836165,0,0,0,0,0,0,0,0,0,0
5458.57105953497,0,14092.464187904554,0,0,0,0,0,0,0,0,0,0
5496.813046433441,0,13866.159285368029,0,0,0,0,0,0,0,0,0,0
7548.579531265588,0,12795.30177684499,0,0,0,0,0,0,0,0,0,0
5969.195447938499,0,14146.842738500518,0,0,0,0,0,0,0,0,0,0
9349.402825274126,0,17539.91422615479,0,0,0,0,0,0,0,0,0,0
10290.352141131805,0,18180.988985393866,0,0,0,0,0,0,0,0,0,0
11704.354957952153,0,22536.295240773456,0,0,0,0,0,0,0,0,0,0
12064.979172091722,0,23324.80713580704,0,0,0,0,0,0,0,0,0,0
13135.601440682483,0,21674.50424049791,0,0,0,0,0,0,0,0,0,0
16992.344823528183,0,24394.683028910964,0,0,0,0,0,0,0,0,0,0
15755.47640248362,0,23386.298922957085,0,0,0,0,0,0,0,0,0,0
15089.530162706857,0,17691.044896564537,0,0,0,0,0,0,0,0,0,0
15362.781762686524,0,21184.07960604258,0,0,0,0,0,0,0,0,0,0
14816.91822315276,0,21335.67210633471,0,0,0,0,0,0,0,0,0,0
14479.068940595298,0,23724.25211253348,0,0,0,0,0,0,0,0,0,0
15372.752253431596,0,23692.313282852818,0,0,0,0,0,0,0,0,0,0
16874.725136612302,0,23334.88453388449,0,0,0,0,0,0,0,0,0,0
17235.462734030723,0,23716.534758939662,0,0,0,0,0,0,0,0,0,0
17072.298970533346,0,22276.0001537474,0,0,0,0,0,0,0,0,0,0
16334.920900096722,0,20677.187154131076,0,0,0,0,0,0,0,0,0,0
14985.292463458509,0,21875.71883637794,0,0,0,0,0,0,0,0,0,0
11897.771608991598,0,23389.426485127784,0,0,0,0,0,0,0,0,0,0
8440.280182294855,0,21918.767621885836,0,0,0,0,0,0,0,0,0,0
6132.79772744696,0,19082.385147340592,0,0,0,0,0,0,0,0,0,0
6752.646379260322,0,15746.181736742225,0,0,0,0,0,0,0,0,0,0
5462.127713560802,0,14936.015766280649,0,0,0,0,0,0,0,0,0,0
5326.813169790578,0,14603.44129624463,0,0,0,0,0,0,0,0,0,0
5947.9620803912685,0,14606.164398790035,0,0,0,0,0,0,0,0,0,0
9583.176246459578,0,17883.95029301878,0,0,0,0,0,0,0,0,0,0
9465.629452449532,0,19760.640018145146,0,0,0,0,0,0,0,0,0,0
11741.507414453283,0,23650.916356034028,0,0,0,0,0,0,0,0,0,0
13365.80595250123,0,26122.896885689996,0,0,0,0,0,0,0,0,0,0
13161.28841103543,0,22653.631765636324,0,0,0,0,0,0,0,0,0,0
16747.09684444904,0,25527.531156525354,0,0,0,0,0,0,0,0,0,0
15784.907670527025,0,23656.90781840713,0,0,0,0,0,0,0,0,0,0
15011.975871363422,0,17688.48956143111,0,0,0,0,0,0,0,0,0,0
15374.867717217794,0,22423.48331414465,0,0,0,0,0,0,0,0,0,0
14740.24282372606,0,22627.620576276182,0,0,0,0,0,0,0,0,0,0
14489.832710402141,0,24145.523850747628,0,0,0,0,0,0,0,0,0,0
15250.022210132229,0,24709.039248932477,0,0,0,0,0,0,0,0,0,0
16964.880249256745,0,24073.794136077755,0,0,0,0,0,0,0,0,0,0
16996.355088758748,0,22925.14084545271,0,0,0,0,0,0,0,0,0,0
17101.211460560626,0,22915.49457648051,0,0,0,0,0,0,0,0,0,0
