Electricity:Facility,ElectricityProduced:Facility,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature
98.31978180835446,0,182.4819054420604,0,0,0,0,0,0,0,0,0,0
96.02373711431379,0,211.96898679447452,0,0,0,0,0,0,0,0,0,0
94.82163143864658,0,183.63694432103148,0,0,0,0,0,0,0,0,0,0
94.16658676361429,0,123.87042258606483,0,0,0,0,0,0,0,0,0,0
97.07977732475153,0,177.10269933187502,0,0,0,0,0,0,0,0,0,0
104.9216872166142,0,115.64434963558081,0,0,0,0,0,0,0,0,0,0
214.78118921553053,0,144.87804842105402,0,0,0,0,0,0,0,0,0,0
174.05318078315665,0,154.33123054967243,0,0,0,0,0,0,0,0,0,0
202.25455818212137,0,160.56896039108332,0,0,0,0,0,0,0,0,0,0
149.84208701598078,0,133.66157355168778,0,0,0,0,0,0,0,0,0,0
150.46571780136836,0,145.99062375778115,0,0,0,0,0,0,0,0,0,0
150.684483544795,0,158.15189538489054,0,0,0,0,0,0,0,0,0,0
149.08063482431825,0,122.0596002508584,0,0,0,0,0,0,0,0,0,0
146.7328378264282,0,120.03528809671735,0,0,0,0,0,0,0,0,0,0
145.7475496714342,0,112.12542097588629,0,0,0,0,0,0,0,0,0,0
150.93563658231872,0,138.62840291906753,0,0,0,0,0,0,0,0,0,0
164.41743861645003,0,136.94954064432963,0,0,0,0,0,0,0,0,0,0
197.0251905329346,0,135.7948270840613,0,0,0,0,0,0,0,0,0,0
199.75672896632548,0,174.92494452874794,0,0,0,0,0,0,0,0,0,0
210.85932346854028,0,164.12178195056606,0,0,0,0,0,0,0,0,0,0
233.3721987042672,0,147.15045418575772,0,0,0,0,0,0,0,0,0,0
185.6798985991771,0,166.775868968729,0,0,0,0,0,0,0,0,0,0
169.9144243637038,0,217.5989190468444,0,0,0,0,0,0,0,0,0,0
111.25081478647955,0,212.44826798732652,0,0,0,0,0,0,0,0,0,0
98.3344373475396,0,193.90805817238305,0,0,0,0,0,0,0,0,0,0
96.1177395374565,0,274.6166172834406,0,0,0,0,0,0,0,0,0,0
94.89893107904375,0,235.5779629490857,0,0,0,0,0,0,0,0,0,0
94.30924813456457,0,233.2284557266501,0,0,0,0,0,0,0,0,0,0
97.15467086789027,0,227.3901648585011,0,0,0,0,0,0,0,0,0,0
149.51295735926607,0,216.8808287510042,0,0,0,0,0,0,0,0,0,0
165.8972262199715,0,221.85432420764405,0,0,0,0,0,0,0,0,0,0
223.47874755994366,0,205.12126443744086,0,0,0,0,0,0,0,0,0,0
157.6853964444819,0,196.7458894465402,0,0,0,0,0,0,0,0,0,0
193.76879185024993,0,196.71540344462352,0,0,0,0,0,0,0,0,0,0
150.50567652468038,0,183.26031854823503,0,0,0,0,0,0,0,0,0,0
150.66898113645723,0,151.2820349204804,0,0,0,0,0,0,0,0,0,0
149.10070513907903,0,149.6682996820143,0,0,0,0,0,0,0,0,0,0
146.76978883593847,0,161.8603092580057,0,0,0,0,0,0,0,0,0,0
100.4581275300177,0,142.61135308169742,0,0,0,0,0,0,0,0,0,0
150.97750769481746,0,149.4036190762132,0,0,0,0,0,0,0,0,0,0
164.47305149313823,0,159.2794990963522,0,0,0,0,0,0,0,0,0,0
197.08255393436247,0,157.16716336431972,0,0,0,0,0,0,0,0,0,0
248.15237458457935,0,140.21611324218804,0,0,0,0,0,0,0,0,0,0
198.95850689081942,0,174.20917993522363,0,0,0,0,0,0,0,0,0,0
197.5440250064524,0,143.81471428944076,0,0,0,0,0,0,0,0,0,0
185.73647015644715,0,188.93606868246064,0,0,0,0,0,0,0,0,0,0
169.91051959276348,0,192.99803122974546,0,0,0,0,0,0,0,0,0,0
155.81514644411078,0,205.3165728119281,0,0,0,0,0,0,0,0,0,0
98.4314259757983,0,262.5853903943825,0,0,0,0,0,0,0,0,0,0
96.01299119171082,0,199.59441598176858,0,0,0,0,0,0,0,0,0,0
94.84060609648805,0,198.5488276189726,0,0,0,0,0,0,0,0,0,0
94.35378990464446,0,266.23372260050866,0,0,0,0,0,0,0,0,0,0
97.24544793173884,0,285.492893494409,0,0,0,0,0,0,0,0,0,0
130.02978960912304,0,271.0912997966739,0,0,0,0,0,0,0,0,0,0
187.57889928725857,0,281.7951560165104,0,0,0,0,0,0,0,0,0,0
214.1094359010301,0,261.19358018585336,0,0,0,0,0,0,0,0,0,0
162.60161569112168,0,217.1024314530464,0,0,0,0,0,0,0,0,0,0
150.08969307645648,0,292.18799090216476,0,0,0,0,0,0,0,0,0,0
198.3655252562333,0,269.5746229530406,0,0,0,0,0,0,0,0,0,0
150.78344284489165,0,240.76150773632784,0,0,0,0,0,0,0,0,0,0
149.2369290319537,0,254.78007041159972,0,0,0,0,0,0,0,0,0,0
101.21141521305958,0,263.40793972837434,0,0,0,0,0,0,0,0,0,0
145.9430811904252,0,246.83577341848755,0,0,0,0,0,0,0,0,0,0
151.11116925671112,0,252.46641685009917,0,0,0,0,0,0,0,0,0,0
164.60409704647552,0,258.05350559545155,0,0,0,0,0,0,0,0,0,0
197.2166046534974,0,257.35312689017775,0,0,0,0,0,0,0,0,0,0
199.9008564797885,0,254.20762023515766,0,0,0,0,0,0,0,0,0,0
247.18039512977293,0,217.56391845507707,0,0,0,0,0,0,0,0,0,0
197.63919770790199,0,223.2541102749436,0,0,0,0,0,0,0,0,0,0
185.77851146051106,0,224.29509110750465,0,0,0,0,0,0,0,0,0,0
169.976705352327,0,247.04368116708932,0,0,0,0,0,0,0,0,0,0
111.31684507158137,0,258.2204966246781,0,0,0,0,0,0,0,0,0,0
98.51858721673516,0,314.56014931690447,0,0,0,0,0,0,0,0,0,0
139.19150786906178,0,254.58243992529103,0,0,0,0,0,0,0,0,0,0
94.96068798999421,0,278.91569664186176,0,0,0,0,0,0,0,0,0,0
94.4195776590221,0,303.9913878735883,0,0,0,0,0,0,0,0,0,0
97.30213026401006,0,319.5621828146136,0,0,0,0,0,0,0,0,0,0
