Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 5 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 6 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 7 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 8 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
11:00:00,1.164735E+05,1.830775E+05,3.938555E+00,1.775882E+01,9.773549E+04,1.432548E+06,5.044505E+00,1.252915E+02,1.444116E+05,8.317275E+05,4.883184E+00,8.074169E+01,1.965226E+05,4.460081E+05,1.014265E+01,3.894589E+01,2.277550E+05,5.583881E+05,1.182250E+01,4.924962E+01,2.078547E+05,8.998673E+05,1.078947E+01,7.939169E+01,1.664104E+05,7.917462E+05,8.588464E+00,6.918277E+01,8.656174E+05,1.172906E+06,4.465464E+01,1.025156E+02
12:00:00,1.165959E+05,1.752192E+05,3.942353E+00,1.700034E+01,9.776739E+04,1.419940E+06,5.046071E+00,1.243376E+02,1.446172E+05,8.317159E+05,4.889485E+00,8.080611E+01,1.947154E+05,4.360922E+05,1.004794E+01,3.808743E+01,2.415116E+05,5.618974E+05,1.253526E+01,4.957140E+01,2.242949E+05,8.887278E+05,1.164155E+01,7.844269E+01,1.665950E+05,7.831606E+05,8.596437E+00,6.848513E+01,8.663365E+05,1.193818E+06,4.466215E+01,1.044305E+02
13:00:00,1.165702E+05,1.749867E+05,3.941465E+00,1.697834E+01,9.778095E+04,1.417345E+06,5.046765E+00,1.241921E+02,1.445965E+05,8.345303E+05,4.888741E+00,8.110915E+01,1.931682E+05,4.352143E+05,9.968016E+00,3.801286E+01,2.244625E+05,5.483789E+05,1.165021E+01,4.837999E+01,2.080011E+05,8.746650E+05,1.079562E+01,7.721598E+01,1.665859E+05,7.836305E+05,8.595797E+00,6.854729E+01,8.664556E+05,1.213896E+06,4.465910E+01,1.062266E+02
14:00:00,1.165845E+05,1.815929E+05,3.941946E+00,1.761964E+01,9.779873E+04,1.423645E+06,5.047682E+00,1.247913E+02,1.446341E+05,8.430214E+05,4.890009E+00,8.194851E+01,1.917295E+05,4.420383E+05,9.893783E+00,3.860979E+01,2.213704E+05,5.516500E+05,1.149001E+01,4.867060E+01,2.057390E+05,8.783265E+05,1.067847E+01,7.754961E+01,1.666205E+05,7.919756E+05,8.597564E+00,6.928702E+01,8.665748E+05,1.230108E+06,4.466241E+01,1.076639E+02
15:00:00,1.165865E+05,1.877624E+05,3.942014E+00,1.821870E+01,9.781464E+04,1.429764E+06,5.048504E+00,1.253551E+02,1.446536E+05,8.505998E+05,4.890668E+00,8.269236E+01,1.903352E+05,4.482707E+05,9.821817E+00,3.915475E+01,2.190056E+05,5.551777E+05,1.136714E+01,4.898454E+01,2.041728E+05,8.825932E+05,1.059707E+01,7.793309E+01,1.666403E+05,7.994775E+05,8.598583E+00,6.994848E+01,8.666281E+05,1.232201E+06,4.466428E+01,1.078554E+02
16:00:00,1.165871E+05,1.912453E+05,3.942035E+00,1.855683E+01,9.782953E+04,1.432802E+06,5.049272E+00,1.256362E+02,1.446702E+05,8.547345E+05,4.891229E+00,8.309732E+01,1.890195E+05,4.509884E+05,9.753909E+00,3.939234E+01,2.168172E+05,5.553764E+05,1.125340E+01,4.900298E+01,2.027390E+05,8.831140E+05,1.052251E+01,7.798155E+01,1.666569E+05,8.030436E+05,8.599439E+00,7.026249E+01,8.666587E+05,1.217707E+06,4.466559E+01,1.065889E+02
17:00:00,1.165875E+05,1.927764E+05,3.942046E+00,1.870530E+01,9.784410E+04,1.433517E+06,5.050024E+00,1.257060E+02,1.446863E+05,8.563569E+05,4.891772E+00,8.325564E+01,1.877369E+05,4.512876E+05,9.687715E+00,3.941838E+01,2.146922E+05,5.532031E+05,1.114304E+01,4.881094E+01,2.013475E+05,8.811495E+05,1.045023E+01,7.780844E+01,1.666728E+05,8.039942E+05,8.600261E+00,7.034577E+01,8.666821E+05,1.192450E+06,4.466671E+01,1.043769E+02
18:00:00,1.165877E+05,1.880611E+05,3.942053E+00,1.824756E+01,9.785830E+04,1.426909E+06,5.050757E+00,1.251296E+02,1.447019E+05,8.508828E+05,4.892300E+00,8.272315E+01,1.864912E+05,4.446910E+05,9.623433E+00,3.884202E+01,2.126307E+05,5.442252E+05,1.103603E+01,4.801844E+01,1.999955E+05,8.719609E+05,1.038005E+01,7.699697E+01,1.666883E+05,7.976650E+05,8.601060E+00,6.979151E+01,8.667028E+05,1.154007E+06,4.466776E+01,1.010101E+02
19:00:00,1.165878E+05,1.721311E+05,3.942057E+00,1.670160E+01,9.787204E+04,1.406847E+06,5.051466E+00,1.233708E+02,1.447170E+05,8.323408E+05,4.892811E+00,8.091942E+01,1.852903E+05,4.252451E+05,9.561463E+00,3.714326E+01,2.106455E+05,5.224977E+05,1.093301E+01,4.610104E+01,1.986919E+05,8.491423E+05,1.031239E+01,7.498153E+01,1.667033E+05,7.776993E+05,8.601833E+00,6.804361E+01,8.667221E+05,1.095277E+06,4.466874E+01,9.586722E+01
20:00:00,1.165879E+05,1.450220E+05,3.942060E+00,1.407087E+01,9.788532E+04,1.371639E+06,5.052152E+00,1.202817E+02,1.447316E+05,8.001334E+05,4.893305E+00,7.778630E+01,1.841335E+05,3.927156E+05,9.501767E+00,3.430156E+01,2.087357E+05,4.878153E+05,1.083389E+01,4.304040E+01,1.974365E+05,8.124783E+05,1.024724E+01,7.174288E+01,1.667177E+05,7.440146E+05,8.602579E+00,6.509460E+01,8.667404E+05,1.033030E+06,4.466968E+01,9.041565E+01
21:00:00,1.165879E+05,1.340017E+05,3.942061E+00,1.300121E+01,9.789816E+04,1.356497E+06,5.052814E+00,1.189515E+02,1.447457E+05,7.863784E+05,4.893782E+00,7.644692E+01,1.830192E+05,3.779147E+05,9.444265E+00,3.300832E+01,2.068988E+05,4.711939E+05,1.073855E+01,4.157320E+01,1.962278E+05,7.952100E+05,1.018451E+01,7.021672E+01,1.667317E+05,7.292201E+05,8.603301E+00,6.379813E+01,8.667579E+05,9.988902E+05,4.467058E+01,8.742564E+01
22:00:00,1.167476E+05,1.300682E+05,3.947794E+00,1.261614E+01,9.793019E+04,1.347676E+06,5.054547E+00,1.177944E+02,1.450152E+05,7.801806E+05,4.903537E+00,7.571233E+01,1.821504E+05,3.719354E+05,9.400806E+00,3.247575E+01,0.000000E+00,6.522853E+04,0.000000E+00,3.837786E+00,1.952976E+05,7.865694E+05,1.013792E+01,6.937860E+01,1.669878E+05,7.222667E+05,8.618118E+00,6.309191E+01,8.685733E+05,9.754329E+05,4.480335E+01,8.522009E+01
23:00:00,1.166885E+05,1.217752E+05,3.945839E+00,1.181190E+01,9.793535E+04,1.344677E+06,5.054824E+00,1.175629E+02,1.449347E+05,7.777764E+05,4.900897E+00,7.548962E+01,0.000000E+00,1.330486E+05,0.000000E+00,9.395895E+00,9.601855E+02,1.102581E+05,3.854712E-02,6.506009E+00,1.940399E+05,7.815555E+05,1.007284E+01,6.894302E+01,1.669118E+05,7.197037E+05,8.614406E+00,6.287662E+01,8.679562E+05,9.605870E+05,4.477718E+01,8.393803E+01
24:00:00,1.166588E+05,1.199989E+05,3.944824E+00,1.163965E+01,9.794342E+04,1.344996E+06,5.055237E+00,1.176010E+02,1.448995E+05,7.765642E+05,4.899686E+00,7.537515E+01,0.000000E+00,2.279644E+05,0.000000E+00,1.604377E+01,3.372909E+04,2.185619E+05,1.354011E+00,1.285439E+01,1.928960E+05,7.772443E+05,1.001341E+01,6.856461E+01,1.668794E+05,7.179299E+05,8.612681E+00,6.272404E+01,8.676470E+05,9.475738E+05,4.475963E+01,8.280526E+01
Peak,1.167476E+05,2.671046E+05,3.947794E+00,2.438711E+01,9.794342E+04,1.509963E+06,5.055237E+00,1.308281E+02,1.450152E+05,8.794266E+05,4.903537E+00,8.476247E+01,2.817492E+05,5.433935E+05,1.418291E+01,4.537178E+01,3.662881E+05,7.132639E+05,1.825113E+01,5.940840E+01,3.379046E+05,1.089917E+06,1.680422E+01,9.102205E+01,1.669878E+05,8.618339E+05,8.618118E+00,7.482660E+01,8.685733E+05,1.232201E+06,4.480335E+01,1.078554E+02

Peak Vol Flow (m3/s),,,3.362900E+00,2.077399E+01,,,4.306268E+00,1.114450E+02,,,4.177044E+00,7.220431E+01,,,1.208161E+01,3.864963E+01,,,1.554709E+01,5.060663E+01,,,1.431455E+01,7.753649E+01,,,7.341283E+00,6.374051E+01,,,3.816542E+01,9.187588E+01
