Electricity:Facility,ElectricityProduced:Facility,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature,ElectricityProduced:Total,Electricity:Load:Total,Electricity:Grid:ToLoad,Electricity:Grid:ToBattery,Electricity:Storage:ToLoad,Electricity:Storage:ToGrid,Electricity:Storage:StateOfCharge,ElectricityProduced:Generator:Total,ElectricityProduced:Generator:ToBattery,ElectricityProduced:Generator:ToLoad,ElectricityProduced:Generator:ToGrid,ElectricityProduced:PV:Total,ElectricityProduced:PV:ToBattery,ElectricityProduced:PV:ToLoad,ElectricityProduced:PV:ToGrid,ElectricityProduced:Wind:Total,ElectricityProduced:Wind:ToBattery,ElectricityProduced:Wind:ToLoad,ElectricityProduced:Wind:ToGrid
6336.958632810743,0,18196.037465836165,0,0,0,0,0,0,0,0,0,0,0.0,1599.75,1599.75,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
5458.57105953497,0,14092.464187904554,0,0,0,0,0,0,0,0,0,0,0.0,1610.96,1610.96,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
5496.813046433441,0,13866.159285368029,0,0,0,0,0,0,0,0,0,0,0.0,2212.27,2212.27,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
7548.579531265588,0,12795.30177684499,0,0,0,0,0,0,0,0,0,0,0.0,1749.4,1749.4,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
5969.195447938499,0,14146.842738500518,0,0,0,0,0,0,0,0,0,0,0.0,2740.04,2740.04,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
9349.402825274126,0,17539.91422615479,0,0,0,0,0,0,0,0,0,0,0.0,3015.8,3015.8,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
10290.352141131805,0,18180.988985393866,0,0,0,0,0,0,0,0,0,0,0.0,3430.21,3430.21,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
11704.354957952153,0,22536.295240773456,0,0,0,0,0,0,0,0,0,0,0.0,3535.9,3535.9,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
12064.979172091722,0,23324.80713580704,0,0,0,0,0,0,0,0,0,0,1.6262,3849.66,3848.04,0,0,0,0,0,0,0,0,1.6262,0,1.6262,0.0,0,0,0,0
13135.601440682483,0,21674.50424049791,0,0,0,0,0,0,0,0,0,0,7.91124,4979.96,4972.05,0,0,0,0,0,0,0,0,7.91124,0,7.91124,0.0,0,0,0,0
16992.344823528183,0,24394.683028910964,0,0,0,0,0,0,0,0,0,0,52.2362,4617.47,4565.24,0,0,0,0,0,0,0,0,52.2362,0,52.2362,0.0,0,0,0,0
15755.47640248362,0,23386.298922957085,0,0,0,0,0,0,0,0,0,0,11.2735,4422.3,4411.03,0,0,0,0,0,0,0,0,11.2735,0,11.2735,0.0,0,0,0,0
15089.530162706857,0,17691.044896564537,0,0,0,0,0,0,0,0,0,0,7.51568,4502.39,4494.87,0,0,0,0,0,0,0,0,7.51568,0,7.51568,0.0,0,0,0,0
15362.781762686524,0,21184.07960604258,0,0,0,0,0,0,0,0,0,0,16.0862,4342.41,4326.32,0,0,0,0,0,0,0,0,16.0862,0,16.0862,0.0,0,0,0,0
14816.91822315276,0,21335.67210633471,0,0,0,0,0,0,0,0,0,0,0.219757,4243.4,4243.18,0,0,0,0,0,0,0,0,0.219757,0,0.219757,0.0,0,0,0,0
14479.068940595298,0,23724.25211253348,0,0,0,0,0,0,0,0,0,0,0.0,4505.31,4505.31,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
15372.752253431596,0,23692.313282852818,0,0,0,0,0,0,0,0,0,0,0.0,4945.49,4945.49,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
16874.725136612302,0,23334.88453388449,0,0,0,0,0,0,0,0,0,0,0.0,5051.21,5051.21,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
17235.462734030723,0,23716.534758939662,0,0,0,0,0,0,0,0,0,0,0.0,5003.4,5003.4,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
17072.298970533346,0,22276.0001537474,0,0,0,0,0,0,0,0,0,0,0.0,4787.29,4787.29,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
16334.920900096722,0,20677.187154131076,0,0,0,0,0,0,0,0,0,0,0.0,4391.75,4391.75,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
14985.292463458509,0,21875.71883637794,0,0,0,0,0,0,0,0,0,0,0.0,3486.89,3486.89,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
11897.771608991598,0,23389.426485127784,0,0,0,0,0,0,0,0,0,0,0.0,2473.6,2473.6,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
8440.280182294855,0,21918.767621885836,0,0,0,0,0,0,0,0,0,0,0.0,1797.35,1797.35,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
6132.79772744696,0,19082.385147340592,0,0,0,0,0,0,0,0,0,0,0.0,1979.0,1979.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
6752.646379260322,0,15746.181736742225,0,0,0,0,0,0,0,0,0,0,0.0,1600.79,1600.79,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
5462.127713560802,0,14936.015766280649,0,0,0,0,0,0,0,0,0,0,0.0,1561.13,1561.13,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
5326.813169790578,0,14603.44129624463,0,0,0,0,0,0,0,0,0,0,0.0,1743.18,1743.18,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
5947.9620803912685,0,14606.164398790035,0,0,0,0,0,0,0,0,0,0,0.0,2808.55,2808.55,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
9583.176246459578,0,17883.95029301878,0,0,0,0,0,0,0,0,0,0,0.0,2774.1,2774.1,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
9465.629452449532,0,19760.640018145146,0,0,0,0,0,0,0,0,0,0,0.0,3441.1,3441.1,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
11741.507414453283,0,23650.916356034028,0,0,0,0,0,0,0,0,0,0,21.8438,3917.13,3895.29,0,0,0,0,0,0,0,0,21.8438,0,21.8438,0.0,0,0,0,0
13365.80595250123,0,26122.896885689996,0,0,0,0,0,0,0,0,0,0,60.3012,3857.19,3796.89,0,0,0,0,0,0,0,0,60.3012,0,60.3012,0.0,0,0,0,0
13161.28841103543,0,22653.631765636324,0,0,0,0,0,0,0,0,0,0,57.7081,4908.09,4850.38,0,0,0,0,0,0,0,0,57.7081,0,57.7081,0.0,0,0,0,0
16747.09684444904,0,25527.531156525354,0,0,0,0,0,0,0,0,0,0,61.1363,4626.1,4564.96,0,0,0,0,0,0,0,0,61.1363,0,61.1363,0.0,0,0,0,0
15784.907670527025,0,23656.90781840713,0,0,0,0,0,0,0,0,0,0,52.8075,4399.57,4346.77,0,0,0,0,0,0,0,0,52.8075,0,52.8075,0.0,0,0,0,0
15011.975871363422,0,17688.48956143111,0,0,0,0,0,0,0,0,0,0,74.2558,4505.93,4431.67,0,0,0,0,0,0,0,0,74.2558,0,74.2558,0.0,0,0,0,0
15374.867717217794,0,22423.48331414465,0,0,0,0,0,0,0,0,0,0,82.0791,4319.94,4237.86,0,0,0,0,0,0,0,0,82.0791,0,82.0791,0.0,0,0,0,0
14740.24282372606,0,22627.620576276182,0,0,0,0,0,0,0,0,0,0,46.8301,4246.55,4199.72,0,0,0,0,0,0,0,0,46.8301,0,46.8301,0.0,0,0,0,0
14489.832710402141,0,24145.523850747628,0,0,0,0,0,0,0,0,0,0,10.3066,4469.34,4459.03,0,0,0,0,0,0,0,0,10.3066,0,10.3066,0.0,0,0,0,0
15250.022210132229,0,24709.039248932477,0,0,0,0,0,0,0,0,0,0,0.0,4971.91,4971.91,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
16964.880249256745,0,24073.794136077755,0,0,0,0,0,0,0,0,0,0,0.0,4981.14,4981.14,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
16996.355088758748,0,22925.14084545271,0,0,0,0,0,0,0,0,0,0,0.0,5011.87,5011.87,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
17101.211460560626,0,22915.49457648051,0,0,0,0,0,0,0,0,0,0,0.0,4791.52,4791.52,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
16349.365434247995,0,21026.885133488093,0,0,0,0,0,0,0,0,0,0,0.0,4372.63,4372.63,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
14920.023123009954,0,22672.553172510157,0,0,0,0,0,0,0,0,0,0,0.0,3459.33,3459.33,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
11803.733454039337,0,23652.286981764562,0,0,0,0,0,0,0,0,0,0,0.0,2466.5,2466.5,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
