Time,1 ZONE VAV:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 1:Des Heat Cap [W],1 ZONE VAV:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 2:Des Heat Cap [W],1 ZONE VAV:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 3:Des Heat Cap [W],1 ZONE VAV:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 1:Des Heat Cap [W],1 ZONE VAV 1:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 2:Des Heat Cap [W],1 ZONE VAV 1:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 3:Des Heat Cap [W],1 ZONE VAV 1:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 1:Des Heat Cap [W],1 ZONE VAV 2:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 2:Des Heat Cap [W],1 ZONE VAV 2:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 3:Des Heat Cap [W],1 ZONE VAV 2:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 3:Des Tot Cool Cap [W]
11:00:00,2.073266E+01,0.000000E+00,2.319787E+01,3.479983E+05,6.207104E+05,2.073266E+01,0.000000E+00,2.281583E+01,2.916505E+05,7.790448E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,5.545936E+01,7.081268E+05,1.035613E+06,2.073266E+01,0.000000E+00,5.467660E+01,6.472926E+05,1.196487E+06,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,7.489942E+01,9.250079E+05,1.313926E+06,2.073266E+01,0.000000E+00,7.127789E+01,8.323593E+05,1.489152E+06,2.987744E+01,5.292909E+05,2.073266E+01,0.000000E+00,0.000000E+00
12:00:00,2.073266E+01,0.000000E+00,2.311905E+01,3.664844E+05,6.361362E+05,2.073266E+01,0.000000E+00,2.276009E+01,3.103954E+05,7.952833E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,5.564472E+01,7.294643E+05,1.044408E+06,2.073266E+01,0.000000E+00,5.488673E+01,6.688972E+05,1.205177E+06,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,7.423631E+01,9.367683E+05,1.318285E+06,2.073266E+01,0.000000E+00,7.069647E+01,8.449510E+05,1.494414E+06,3.026563E+01,5.261163E+05,2.073266E+01,0.000000E+00,0.000000E+00
13:00:00,2.073266E+01,0.000000E+00,2.180336E+01,3.673065E+05,6.324845E+05,2.073266E+01,0.000000E+00,2.144475E+01,3.112215E+05,7.917567E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,5.322922E+01,7.180044E+05,1.030305E+06,2.073266E+01,0.000000E+00,5.247760E+01,6.575078E+05,1.191038E+06,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,7.249591E+01,9.327748E+05,1.315996E+06,2.073266E+01,0.000000E+00,6.897015E+01,8.410860E+05,1.494187E+06,2.896140E+01,5.370423E+05,2.073266E+01,0.000000E+00,0.000000E+00
14:00:00,2.073266E+01,0.000000E+00,2.260536E+01,3.859457E+05,6.545495E+05,2.073266E+01,0.000000E+00,2.224125E+01,3.297988E+05,8.136662E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,5.261463E+01,7.208347E+05,1.036821E+06,2.073266E+01,0.000000E+00,5.186638E+01,6.603752E+05,1.197949E+06,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,7.243542E+01,9.417434E+05,1.328424E+06,2.073266E+01,0.000000E+00,6.892386E+01,8.501895E+05,1.508650E+06,2.832578E+01,5.423602E+05,2.073266E+01,0.000000E+00,0.000000E+00
15:00:00,2.073266E+01,0.000000E+00,2.361106E+01,3.971660E+05,6.697538E+05,2.073266E+01,0.000000E+00,2.324319E+01,3.409773E+05,8.288314E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,5.231952E+01,7.175293E+05,1.033806E+06,2.073266E+01,0.000000E+00,5.157446E+01,6.571041E+05,1.195028E+06,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,7.245691E+01,9.419510E+05,1.328246E+06,2.073266E+01,0.000000E+00,6.894872E+01,8.504183E+05,1.508342E+06,2.783260E+01,5.464852E+05,2.073266E+01,0.000000E+00,0.000000E+00
16:00:00,2.073266E+01,0.000000E+00,2.428093E+01,3.930122E+05,6.671230E+05,2.073266E+01,0.000000E+00,2.391276E+01,3.368205E+05,8.262301E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,5.194992E+01,7.017734E+05,1.016715E+06,2.073266E+01,0.000000E+00,5.120858E+01,6.413893E+05,1.177848E+06,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,7.181474E+01,9.231510E+05,1.307095E+06,2.073266E+01,0.000000E+00,6.830343E+01,8.315821E+05,1.485959E+06,2.742351E+01,5.499042E+05,2.073266E+01,0.000000E+00,0.000000E+00
17:00:00,2.073266E+01,0.000000E+00,2.442865E+01,3.791601E+05,6.525926E+05,2.073266E+01,0.000000E+00,2.406205E+01,3.229859E+05,8.116818E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,5.135606E+01,6.796464E+05,9.933218E+05,2.073266E+01,0.000000E+00,5.061851E+01,6.193048E+05,1.154342E+06,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,7.061172E+01,8.942334E+05,1.275768E+06,2.073266E+01,0.000000E+00,6.709507E+01,8.026135E+05,1.453367E+06,2.708327E+01,5.527465E+05,2.073266E+01,0.000000E+00,0.000000E+00
18:00:00,2.073266E+01,0.000000E+00,2.376968E+01,3.524340E+05,6.230565E+05,2.073266E+01,0.000000E+00,2.340834E+01,2.963183E+05,7.820507E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,5.025217E+01,6.479542E+05,9.599096E+05,2.073266E+01,0.000000E+00,4.952012E+01,5.876751E+05,1.120771E+06,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,6.849838E+01,8.512911E+05,1.229072E+06,2.073266E+01,0.000000E+00,6.497626E+01,7.596264E+05,1.404712E+06,2.679988E+01,5.551138E+05,2.073266E+01,0.000000E+00,0.000000E+00
19:00:00,2.073266E+01,0.000000E+00,2.197927E+01,3.033948E+05,5.679678E+05,2.073266E+01,0.000000E+00,2.162981E+01,2.474117E+05,7.267535E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,4.831290E+01,5.972526E+05,9.061598E+05,2.073266E+01,0.000000E+00,4.759005E+01,5.370781E+05,1.066731E+06,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,6.477116E+01,7.806632E+05,1.151437E+06,2.073266E+01,0.000000E+00,6.124291E+01,6.889579E+05,1.323350E+06,2.656567E+01,5.570705E+05,2.073266E+01,0.000000E+00,0.000000E+00
20:00:00,2.073266E+01,0.000000E+00,2.073266E+01,2.681721E+05,5.284197E+05,2.073266E+01,0.000000E+00,2.073266E+01,2.160886E+05,6.919232E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,4.560823E+01,5.457607E+05,8.508603E+05,2.073266E+01,0.000000E+00,4.490379E+01,4.857943E+05,1.011158E+06,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,6.021542E+01,7.085481E+05,1.071886E+06,2.073266E+01,0.000000E+00,5.669540E+01,6.169693E+05,1.239879E+06,2.636889E+01,5.587145E+05,2.073266E+01,0.000000E+00,0.000000E+00
21:00:00,2.073266E+01,0.000000E+00,2.073266E+01,2.507345E+05,5.105518E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.986510E+05,6.736307E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,4.398624E+01,5.102254E+05,8.140399E+05,2.073266E+01,0.000000E+00,4.329253E+01,4.503804E+05,9.739837E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,5.746567E+01,6.604488E+05,1.022060E+06,2.073266E+01,0.000000E+00,5.394418E+01,5.688755E+05,1.188707E+06,2.620339E+01,5.600971E+05,2.073266E+01,0.000000E+00,0.000000E+00
22:00:00,2.073266E+01,0.000000E+00,2.073266E+01,2.332970E+05,4.926842E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.812135E+05,6.086163E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,2.332970E+05,4.926842E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.812135E+05,6.086163E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,5.533971E+01,6.196226E+05,9.823096E+05,2.073266E+01,0.000000E+00,5.175142E+01,5.274404E+05,1.093674E+06,2.614285E+01,5.605344E+05,2.073266E+01,0.000000E+00,0.000000E+00
23:00:00,2.073266E+01,0.000000E+00,2.073266E+01,2.197344E+05,4.787871E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.676509E+05,5.596029E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,2.197344E+05,4.787871E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.676509E+05,5.596029E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,5.377928E+01,5.885925E+05,9.486549E+05,2.073266E+01,0.000000E+00,5.020765E+01,4.965953E+05,1.016939E+06,2.599494E+01,5.617721E+05,2.073266E+01,0.000000E+00,0.000000E+00
24:00:00,2.073266E+01,0.000000E+00,2.073266E+01,2.061719E+05,4.648900E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.540884E+05,5.118984E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,2.073266E+01,2.061719E+05,4.648900E+05,2.073266E+01,0.000000E+00,2.073266E+01,1.540884E+05,5.118984E+05,2.073266E+01,6.057887E+05,2.073266E+01,0.000000E+00,0.000000E+00,2.073266E+01,0.000000E+00,5.240539E+01,5.596241E+05,9.162303E+05,2.073266E+01,0.000000E+00,4.884692E+01,4.677626E+05,9.461562E+05,2.586612E+01,5.628660E+05,2.073266E+01,0.000000E+00,0.000000E+00
Coinc Peak   ,2.073266E+01,3.109353E+01,6.057887E+05,4.121432E+05,2.073266E+01,5.873296E+01,6.057887E+05,7.360160E+05,3.680224E+01,8.325861E+01,6.057887E+05,1.024803E+06
NonCoinc Peak,2.073266E+01,3.109353E+01,6.057887E+05,4.121432E+05,2.073266E+01,5.873296E+01,6.057887E+05,7.360160E+05,3.680224E+01,8.325861E+01,6.057887E+05,1.024803E+06
