Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,0.000000E+00,3.819673E+04,0.000000E+00,2.246283E+00,0.000000E+00,1.448830E+05,0.000000E+00,8.520798E+00,3.974716E+05,1.286209E+05,2.061917E+01,7.572262E+00
02:00:00,0.000000E+00,4.055818E+04,0.000000E+00,2.385489E+00,0.000000E+00,1.541119E+05,0.000000E+00,9.065830E+00,8.287492E+04,2.001101E+05,3.327382E+00,1.191791E+01
03:00:00,0.000000E+00,4.146806E+04,0.000000E+00,2.439486E+00,0.000000E+00,1.614328E+05,0.000000E+00,9.499635E+00,1.783259E+05,2.495750E+05,7.191126E+00,1.469698E+01
04:00:00,0.000000E+00,4.183062E+04,0.000000E+00,2.461471E+00,0.000000E+00,1.677137E+05,0.000000E+00,9.872208E+00,2.076846E+05,2.741122E+05,8.330170E+00,1.613908E+01
05:00:00,0.000000E+00,4.177791E+04,0.000000E+00,2.458577E+00,0.000000E+00,1.733806E+05,0.000000E+00,1.020644E+01,2.336765E+05,2.909877E+05,9.368954E+00,1.713352E+01
06:00:00,0.000000E+00,5.297862E+04,0.000000E+00,3.118099E+00,0.000000E+00,1.889632E+05,0.000000E+00,1.112418E+01,2.481713E+05,3.213087E+05,9.949279E+00,1.891903E+01
07:00:00,0.000000E+00,6.447227E+04,0.000000E+00,3.804500E+00,0.000000E+00,2.069588E+05,0.000000E+00,1.220920E+01,2.571414E+05,3.596367E+05,1.030825E+01,2.121730E+01
08:00:00,0.000000E+00,8.092253E+04,0.000000E+00,4.769011E+00,1.917170E+03,2.281087E+05,7.719396E-02,1.343475E+01,2.628451E+05,4.074585E+05,1.053629E+01,2.400371E+01
09:00:00,6.034213E+04,1.825884E+05,2.639836E+00,1.204381E+01,1.422132E+05,4.085341E+05,6.084270E+00,2.755834E+01,4.224127E+05,6.568722E+05,1.856930E+01,4.459103E+01
10:00:00,1.481832E+05,3.281957E+05,7.223845E+00,2.703785E+01,2.240607E+05,6.133241E+05,1.109195E+01,5.107214E+01,5.856909E+05,8.673080E+05,2.944179E+01,7.239879E+01
11:00:00,6.781342E+04,2.286713E+05,3.520462E+00,2.017206E+01,1.948511E+05,5.467799E+05,1.011435E+01,4.822553E+01,4.605903E+05,7.382932E+05,2.390195E+01,6.512993E+01
12:00:00,9.108421E+04,2.278149E+05,4.728481E+00,2.010352E+01,2.179913E+05,5.484572E+05,1.131306E+01,4.838671E+01,4.667616E+05,7.314945E+05,2.421250E+01,6.455331E+01
13:00:00,7.669120E+04,2.148693E+05,3.981256E+00,1.895945E+01,1.996820E+05,5.246433E+05,1.036289E+01,4.628628E+01,4.467215E+05,7.142501E+05,2.316912E+01,6.303992E+01
14:00:00,7.546254E+04,2.228052E+05,3.917514E+00,1.965684E+01,1.922666E+05,5.185877E+05,9.979229E+00,4.575185E+01,4.369404E+05,7.135995E+05,2.266063E+01,6.298733E+01
15:00:00,7.484584E+04,2.326976E+05,3.885513E+00,2.053136E+01,1.858376E+05,5.156612E+05,9.646032E+00,4.549523E+01,4.293494E+05,7.137714E+05,2.226608E+01,6.300601E+01
16:00:00,7.450691E+04,2.392785E+05,3.867924E+00,2.111385E+01,1.800370E+05,5.120090E+05,9.345050E+00,4.517384E+01,4.230453E+05,7.074299E+05,2.193881E+01,6.244760E+01
17:00:00,7.430976E+04,2.407329E+05,3.857692E+00,2.124230E+01,1.747661E+05,5.061558E+05,9.071445E+00,4.465745E+01,4.177983E+05,6.955791E+05,2.166661E+01,6.140149E+01
18:00:00,7.419148E+04,2.342482E+05,3.851554E+00,2.066929E+01,1.699476E+05,4.952777E+05,8.821328E+00,4.369754E+01,4.134280E+05,6.747652E+05,2.143991E+01,5.956380E+01
19:00:00,7.412015E+04,2.166132E+05,3.847853E+00,1.911241E+01,1.655259E+05,4.761665E+05,8.591811E+00,4.201121E+01,4.098167E+05,6.380561E+05,2.125254E+01,5.632275E+01
20:00:00,7.407618E+04,1.888267E+05,3.845571E+00,1.666007E+01,1.614542E+05,4.495129E+05,8.380467E+00,3.965933E+01,4.067829E+05,5.931904E+05,2.109511E+01,5.236124E+01
21:00:00,7.404898E+04,1.760570E+05,3.844160E+00,1.553281E+01,1.577103E+05,4.335303E+05,8.186132E+00,3.824890E+01,4.042312E+05,5.661133E+05,2.096271E+01,4.997015E+01
22:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.200370E+04,0.000000E+00,5.416177E+00,4.030292E+05,5.456274E+05,2.091428E+01,4.812149E+01
23:00:00,0.000000E+00,4.364745E+03,0.000000E+00,2.570861E-01,0.000000E+00,1.023371E+05,0.000000E+00,6.033416E+00,4.007505E+05,5.301730E+05,2.079595E+01,4.676459E+01
24:00:00,0.000000E+00,2.459920E+04,0.000000E+00,1.463586E+00,0.000000E+00,1.264005E+05,0.000000E+00,7.440419E+00,3.988319E+05,5.165251E+05,2.069289E+01,4.556991E+01
Peak,1.481832E+05,3.281957E+05,7.223845E+00,2.703785E+01,2.240607E+05,6.133241E+05,1.109195E+01,5.107214E+01,5.856909E+05,8.673080E+05,2.944179E+01,7.239879E+01

Peak Vol Flow (m3/s),,,6.153582E+00,2.303200E+01,,,9.448599E+00,4.350544E+01,,,2.507978E+01,6.167240E+01
