Electricity:Facility,ElectricityProduced:Facility,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature
3062.4319349693146,0,6463.291415993747,0,0,0,0,0,0,0,0,0,0
2109.630758544482,0,498.81108532620004,0,0,0,0,0,0,0,0,0,0
2297.206811126467,0,633.136270794553,0,0,0,0,0,0,0,0,0,0
2346.7696181989495,0,633.547671782474,0,0,0,0,0,0,0,0,0,0
3721.5649869456533,0,1055.2271179909214,0,0,0,0,0,0,0,0,0,0
6334.357431266554,0,4844.524988792483,0,0,0,0,0,0,0,0,0,0
7841.300432446663,0,9102.406076007772,0,0,0,0,0,0,0,0,0,0
8087.237738139998,0,18325.132204782967,0,0,0,0,0,0,0,0,0,0
9180.419125840686,0,18909.936307283657,0,0,0,0,0,0,0,0,0,0
9985.010047424286,0,17913.235774575747,0,0,0,0,0,0,0,0,0,0
11771.587042627802,0,18647.48759192601,0,0,0,0,0,0,0,0,0,0
12336.128389143563,0,17834.855530206285,0,0,0,0,0,0,0,0,0,0
11357.90002019954,0,16641.734333167853,0,0,0,0,0,0,0,0,0,0
11834.345679721351,0,15318.170617338357,0,0,0,0,0,0,0,0,0,0
11420.521932149994,0,15790.561837271429,0,0,0,0,0,0,0,0,0,0
11107.216008590147,0,16583.616250152223,0,0,0,0,0,0,0,0,0,0
12025.956531149799,0,17148.954047695,0,0,0,0,0,0,0,0,0,0
11737.317893951287,0,17057.86869471585,0,0,0,0,0,0,0,0,0,0
11160.898199041501,0,16656.520888779472,0,0,0,0,0,0,0,0,0,0
10283.1489370733,0,16164.588621480774,0,0,0,0,0,0,0,0,0,0
11527.451399744932,0,16109.264497071501,0,0,0,0,0,0,0,0,0,0
9656.281514858445,0,16500.742695584722,0,0,0,0,0,0,0,0,0,0
6688.474523026907,0,16847.543184597893,0,0,0,0,0,0,0,0,0,0
4313.727548998611,0,17426.72597801219,0,0,0,0,0,0,0,0,0,0
2793.58251976078,0,6464.704245723697,0,0,0,0,0,0,0,0,0,0
3004.2206890578336,0,513.7290420934089,0,0,0,0,0,0,0,0,0,0
2297.2069711003464,0,633.136270794553,0,0,0,0,0,0,0,0,0,0
2109.6307315812896,0,623.6437262386801,0,0,0,0,0,0,0,0,0,0
5402.356130395765,0,6928.689166759446,0,0,0,0,0,0,0,0,0,0
5582.945909667436,0,3800.6720277228787,0,0,0,0,0,0,0,0,0,0
5606.834470762201,0,8454.374867084345,0,0,0,0,0,0,0,0,0,0
8119.121333187947,0,19852.433246348402,0,0,0,0,0,0,0,0,0,0
