Electricity:Facility,ElectricityProduced:Facility,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature
1663.4786831659685,0,2554.1052047535113,0,0,0,0,0,0,0,0,0,0
587.2359795863432,0,0.0,0,0,0,0,0,0,0,0,0,0
587.2359795863432,0,0.0,0,0,0,0,0,0,0,0,0,0
587.2359795863432,0,0.0,0,0,0,0,0,0,0,0,0,0
587.2359795863432,0,0.0,0,0,0,0,0,0,0,0,0,0
587.2359795863432,0,0.0,0,0,0,0,0,0,0,0,0,0
599.2902120446636,0,0.0,0,0,0,0,0,0,0,0,0,0
611.2842855530067,0,0.0,0,0,0,0,0,0,0,0,0,0
1864.6735260881458,0,4833.316920376797,0,0,0,0,0,0,0,0,0,0
2288.7500426045835,0,519.0303594321276,0,0,0,0,0,0,0,0,0,0
3971.6135354066964,0,2552.185905554866,0,0,0,0,0,0,0,0,0,0
3018.7019673766454,0,2689.301172663178,0,0,0,0,0,0,0,0,0,0
3669.91904101972,0,4490.403035517035,0,0,0,0,0,0,0,0,0,0
3560.2515692193815,0,4091.458698445288,0,0,0,0,0,0,0,0,0,0
3667.4298989709528,0,4181.17313009967,0,0,0,0,0,0,0,0,0,0
3555.415303968901,0,4289.067046537682,0,0,0,0,0,0,0,0,0,0
3724.983042714876,0,4281.543848351535,0,0,0,0,0,0,0,0,0,0
3961.7488160764206,0,4233.650334398195,0,0,0,0,0,0,0,0,0,0
4177.4993620759,0,4758.506736535667,0,0,0,0,0,0,0,0,0,0
3935.414042477044,0,4713.190869720933,0,0,0,0,0,0,0,0,0,0
2887.147145378781,0,2194.916321654213,0,0,0,0,0,0,0,0,0,0
1990.1463371849827,0,2479.067536321639,0,0,0,0,0,0,0,0,0,0
1949.5391117011595,0,2738.89322199737,0,0,0,0,0,0,0,0,0,0
2025.519062675239,0,2465.7618118406567,0,0,0,0,0,0,0,0,0,0
587.2359795863432,0,0.0,0,0,0,0,0,0,0,0,0,0
587.2359795863432,0,0.0,0,0,0,0,0,0,0,0,0,0
587.2359795863432,0,0.0,0,0,0,0,0,0,0,0,0,0
779.4090351686767,0,239.62761465823402,0,0,0,0,0,0,0,0,0,0
587.2359795863432,0,0.0,0,0,0,0,0,0,0,0,0,0
1257.1886472118586,0,1183.9205163914355,0,0,0,0,0,0,0,0,0,0
599.2902120446636,0,0.0,0,0,0,0,0,0,0,0,0,0
1273.3803029345856,0,1693.6127249525587,0,0,0,0,0,0,0,0,0,0
1048.2629957732277,0,1839.9191821082889,0,0,0,0,0,0,0,0,0,0
3016.482580469603,0,4232.768342052942,0,0,0,0,0,0,0,0,0,0
2855.4682188147804,0,0.0,0,0,0,0,0,0,0,0,0,0
4271.995662403257,0,5140.490184682293,0,0,0,0,0,0,0,0,0,0
3659.228054119395,0,4832.8180665829905,0,0,0,0,0,0,0,0,0,0
3619.14388260018,0,4756.453840534774,0,0,0,0,0,0,0,0,0,0
3589.9916787330544,0,4621.109482770668,0,0,0,0,0,0,0,0,0,0
3602.9188989418417,0,4565.649116720608,0,0,0,0,0,0,0,0,0,0
3642.273369772922,0,4636.329510318929,0,0,0,0,0,0,0,0,0,0
4033.118997381331,0,4568.869539092822,0,0,0,0,0,0,0,0,0,0
3960.008976525677,0,4589.768143619241,0,0,0,0,0,0,0,0,0,0
4046.320292398103,0,4938.220339867938,0,0,0,0,0,0,0,0,0,0
2930.2923794680096,0,2166.8874960290805,0,0,0,0,0,0,0,0,0,0
1906.2196955038248,0,2644.0510712037376,0,0,0,0,0,0,0,0,0,0
1912.0074062858646,0,2518.671199274783,0,0,0,0,0,0,0,0,0,0
1974.0229477648438,0,2292.2238160212733,0,0,0,0,0,0,0,0,0,0
587.2359795863432,0,0.0,0,0,0,0,0,0,0,0,0,0
587.2359795863432,0,0.0,0,0,0,0,0,0,0,0,0,0
587.2359795863432,0,0.0,0,0,0,0,0,0,0,0,0,0
992.858623892966,0,617.1180095063864,0,0,0,0,0,0,0,0,0,0
587.2359795863432,0,0.0,0,0,0,0,0,0,0,0,0,0
1230.2604811532856,0,1665.2887144538038,0,0,0,0,0,0,0,0,0,0
599.2902120446636,0,0.0,0,0,0,0,0,0,0,0,0,0
1276.6628381029382,0,2303.7648298262106,0,0,0,0,0,0,0,0,0,0
1047.168025250702,0,1809.151870849192,0,0,0,0,0,0,0,0,0,0
2998.9128273567712,0,4359.875541865057,0,0,0,0,0,0,0,0,0,0
3251.6773572830866,0,460.2608483641398,0,0,0,0,0,0,0,0,0,0
4320.770884421026,0,6843.695156486341,0,0,0,0,0,0,0,0,0,0
3350.1473867689015,0,6378.487303779222,0,0,0,0,0,0,0,0,0,0
3398.6898145946075,0,6457.168318273331,0,0,0,0,0,0,0,0,0,0
3178.254040143504,0,6492.488936831836,0,0,0,0,0,0,0,0,0,0
3316.34083624391,0,6387.83614939383,0,0,0,0,0,0,0,0,0,0
3166.382977390833,0,6561.620676428962,0,0,0,0,0,0,0,0,0,0
3867.5935363115063,0,6524.226174459142,0,0,0,0,0,0,0,0,0,0
3593.294672672677,0,6649.520182216093,0,0,0,0,0,0,0,0,0,0
3808.3253370071016,0,6537.460052232547,0,0,0,0,0,0,0,0,0,0
2558.689437066203,0,2670.3950364128436,0,0,0,0,0,0,0,0,0,0
1610.4900904903018,0,2905.17128588317,0,0,0,0,0,0,0,0,0,0
1696.121957938994,0,2943.2645426976787,0,0,0,0,0,0,0,0,0,0
2045.0876069978513,0,2496.781951405579,0,0,0,0,0,0,0,0,0,0
587.2359795863432,0,0.0,0,0,0,0,0,0,0,0,0,0
587.2359795863432,0,0.0,0,0,0,0,0,0,0,0,0,0
787.5192228663341,0,222.86271880155462,0,0,0,0,0,0,0,0,0,0
587.2359795863432,0,0.0,0,0,0,0,0,0,0,0,0,0
1247.3745283585554,0,1531.5735382669686,0,0,0,0,0,0,0,0,0,0
587.2359795863432,0,0.0,0,0,0,0,0,0,0,0,0,0
1254.9615405980653,0,2346.9575822918337,0,0,0,0,0,0,0,0,0,0
611.2842855530067,0,0.0,0,0,0,0,0,0,0,0,0,0
1815.479954281562,0,6524.96969717544,0,0,0,0,0,0,0,0,0,0
1753.4369204166896,0,0.0,0,0,0,0,0,0,0,0,0,0
4064.455874888783,0,4262.042155493573,0,0,0,0,0,0,0,0,0,0
3069.767814552319,0,3700.914610453509,0,0,0,0,0,0,0,0,0,0
3235.9362461477826,0,7584.155383591888,0,0,0,0,0,0,0,0,0,0
3516.3517289818114,0,6292.980440715824,0,0,0,0,0,0,0,0,0,0
3218.964643757195,0,6982.352839649311,0,0,0,0,0,0,0,0,0,0
3279.8052620326,0,6856.219780253451,0,0,0,0,0,0,0,0,0,0
3232.801383827985,0,7261.117191115394,0,0,0,0,0,0,0,0,0,0
3767.530839595084,0,7174.072408824126,0,0,0,0,0,0,0,0,0,0
3696.96694521488,0,7109.1842849920395,0,0,0,0,0,0,0,0,0,0
3672.8311907781413,0,7439.156002288968,0,0,0,0,0,0,0,0,0,0
2635.8014848657367,0,3747.5424104097096,0,0,0,0,0,0,0,0,0,0
1676.2846193163655,0,3504.6196137100596,0,0,0,0,0,0,0,0,0,0
1634.9724728300928,0,3444.2042064628463,0,0,0,0,0,0,0,0,0,0
2168.046247089774,0,3164.461499867306,0,0,0,0,0,0,0,0,0,0
1005.1426867300718,0,0.0,0,0,0,0,0,0,0,0,0,0
991.8217428011305,0,511.0974389194992,0,0,0,0,0,0,0,0,0,0
587.2359795863432,0,0.0,0,0,0,0,0,0,0,0,0,0
1248.7046380989252,0,2033.6638786469669,0,0,0,0,0,0,0,0,0,0
587.2359795863432,0,0.0,0,0,0,0,0,0,0,0,0,0
1257.3032394025336,0,2284.794636840771,0,0,0,0,0,0,0,0,0,0
