Electricity:Facility,ElectricityProduced:Facility,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature
2217.814161570581,0,2545.8974551563483,0,0,0,0,0,0,0,0,0,0
1443.9222963843804,0,1121.297359411466,0,0,0,0,0,0,0,0,0,0
2216.9014861716378,0,2500.157666335244,0,0,0,0,0,0,0,0,0,0
1444.9007018430925,0,650.0475630650002,0,0,0,0,0,0,0,0,0,0
2222.9621211004787,0,2279.124657060074,0,0,0,0,0,0,0,0,0,0
1444.1821488921387,0,649.175717303654,0,0,0,0,0,0,0,0,0,0
2239.844725154161,0,2172.8035595042993,0,0,0,0,0,0,0,0,0,0
2919.405077869843,0,1696.8072547528443,0,0,0,0,0,0,0,0,0,0
3593.3711416112264,0,957.4514528813115,0,0,0,0,0,0,0,0,0,0
3592.359887616905,0,815.5751265923332,0,0,0,0,0,0,0,0,0,0
3638.131402543004,0,866.2590947013742,0,0,0,0,0,0,0,0,0,0
3654.8715997717004,0,935.8537279890456,0,0,0,0,0,0,0,0,0,0
3640.7126573118617,0,824.923556487803,0,0,0,0,0,0,0,0,0,0
3661.8564284765757,0,826.9665489045974,0,0,0,0,0,0,0,0,0,0
3655.1433714439186,0,826.2380143429178,0,0,0,0,0,0,0,0,0,0
3650.6958678732253,0,817.0866793061489,0,0,0,0,0,0,0,0,0,0
2639.688584165378,0,1176.3952793120175,0,0,0,0,0,0,0,0,0,0
2649.427241975729,0,1584.6831964804485,0,0,0,0,0,0,0,0,0,0
2599.695050018127,0,2065.2486501488415,0,0,0,0,0,0,0,0,0,0
2608.0753706545383,0,2099.8008198464863,0,0,0,0,0,0,0,0,0,0
2583.8234290484456,0,2079.4066282450362,0,0,0,0,0,0,0,0,0,0
2590.4485775364733,0,2181.4859668605263,0,0,0,0,0,0,0,0,0,0
2452.81987848814,0,2128.646402370327,0,0,0,0,0,0,0,0,0,0
1452.4763988263765,0,1237.5768657193623,0,0,0,0,0,0,0,0,0,0
2220.2143112978943,0,2607.4142335900665,0,0,0,0,0,0,0,0,0,0
1447.7590036726958,0,1502.4804593964268,0,0,0,0,0,0,0,0,0,0
2216.0231883039746,0,2886.8023003131193,0,0,0,0,0,0,0,0,0,0
1444.0618689435178,0,1254.76278386808,0,0,0,0,0,0,0,0,0,0
2216.7100245270162,0,2770.1128650689716,0,0,0,0,0,0,0,0,0,0
1446.2022756062197,0,1210.8571034910487,0,0,0,0,0,0,0,0,0,0
2241.5635950948495,0,2788.4253198188294,0,0,0,0,0,0,0,0,0,0
2903.879967391031,0,2026.5274643465264,0,0,0,0,0,0,0,0,0,0
3590.1219612348686,0,1181.5598477101119,0,0,0,0,0,0,0,0,0,0
3587.2337319739217,0,1170.5325688853256,0,0,0,0,0,0,0,0,0,0
3614.303982137096,0,1125.2254742486582,0,0,0,0,0,0,0,0,0,0
3644.0210304546804,0,959.3709076589969,0,0,0,0,0,0,0,0,0,0
3644.2765900957925,0,897.45200627289,0,0,0,0,0,0,0,0,0,0
3656.586452968521,0,952.5503655472676,0,0,0,0,0,0,0,0,0,0
3658.7305760668023,0,826.2788461209517,0,0,0,0,0,0,0,0,0,0
3646.704708463608,0,825.5494382002386,0,0,0,0,0,0,0,0,0,0
2628.0186794038023,0,1497.644678859559,0,0,0,0,0,0,0,0,0,0
2635.4971933578036,0,1814.6925826917832,0,0,0,0,0,0,0,0,0,0
2595.780266813524,0,1914.723813173992,0,0,0,0,0,0,0,0,0,0
2594.4725142644734,0,2166.5843021493374,0,0,0,0,0,0,0,0,0,0
2569.9804768068548,0,2091.1383503257684,0,0,0,0,0,0,0,0,0,0
2578.1033478220206,0,2321.9623596487513,0,0,0,0,0,0,0,0,0,0
2452.671270201267,0,1984.1654055559568,0,0,0,0,0,0,0,0,0,0
1452.2598869316105,0,1185.2203640957423,0,0,0,0,0,0,0,0,0,0
2218.1437149981884,0,2980.4786811866957,0,0,0,0,0,0,0,0,0,0
1446.3303712935246,0,1077.230379468741,0,0,0,0,0,0,0,0,0,0
2220.1718513190312,0,2545.9961660100757,0,0,0,0,0,0,0,0,0,0
1444.0663577777564,0,1452.370867184623,0,0,0,0,0,0,0,0,0,0
2216.33378235539,0,3127.3442558387605,0,0,0,0,0,0,0,0,0,0
1444.2057998527664,0,1543.3869291762956,0,0,0,0,0,0,0,0,0,0
2239.032384041125,0,3176.1396345337753,0,0,0,0,0,0,0,0,0,0
2830.0250305226414,0,2380.062098807289,0,0,0,0,0,0,0,0,0,0
3493.40728596412,0,1368.8578848142663,0,0,0,0,0,0,0,0,0,0
3467.8244502950456,0,1828.0219547439974,0,0,0,0,0,0,0,0,0,0
3498.5747033016805,0,1753.077503919774,0,0,0,0,0,0,0,0,0,0
3505.332183533604,0,1608.987934807828,0,0,0,0,0,0,0,0,0,0
3506.9111280183674,0,1668.116567643401,0,0,0,0,0,0,0,0,0,0
3510.4056917929015,0,1713.235738412422,0,0,0,0,0,0,0,0,0,0
3496.3763367004467,0,1626.698757125875,0,0,0,0,0,0,0,0,0,0
3494.807384533268,0,1565.3144204321623,0,0,0,0,0,0,0,0,0,0
2459.489196187601,0,2236.2844132264972,0,0,0,0,0,0,0,0,0,0
2469.061555811083,0,2534.3353507647184,0,0,0,0,0,0,0,0,0,0
2439.17369351584,0,2701.88716226471,0,0,0,0,0,0,0,0,0,0
2436.005572950344,0,2501.8961999504845,0,0,0,0,0,0,0,0,0,0
2423.884648787891,0,2618.1836993890183,0,0,0,0,0,0,0,0,0,0
2400.556257338114,0,2599.0917201431785,0,0,0,0,0,0,0,0,0,0
2452.7376471992266,0,2257.5118061000653,0,0,0,0,0,0,0,0,0,0
1456.3594345796598,0,1487.3660325337855,0,0,0,0,0,0,0,0,0,0
2215.778702995586,0,3272.254867305781,0,0,0,0,0,0,0,0,0,0
1444.1408419183826,0,1384.067442684345,0,0,0,0,0,0,0,0,0,0
2214.4305568236277,0,3004.4400311567,0,0,0,0,0,0,0,0,0,0
1447.1165289067187,0,1668.782637129172,0,0,0,0,0,0,0,0,0,0
2217.251365729057,0,3273.270581838462,0,0,0,0,0,0,0,0,0,0
1444.474844902961,0,1677.0002667889416,0,0,0,0,0,0,0,0,0,0
2234.5447421360345,0,3429.2442971558207,0,0,0,0,0,0,0,0,0,0
2621.9358659214445,0,2825.770725887434,0,0,0,0,0,0,0,0,0,0
3327.0666529211617,0,2149.9571412370624,0,0,0,0,0,0,0,0,0,0
3387.197062388483,0,1900.9895298279273,0,0,0,0,0,0,0,0,0,0
3470.1704183069596,0,1862.7216223963858,0,0,0,0,0,0,0,0,0,0
3516.2300837022694,0,2082.728352795806,0,0,0,0,0,0,0,0,0,0
3488.990338940695,0,1760.041645963245,0,0,0,0,0,0,0,0,0,0
3544.9619291519243,0,2010.2085112178465,0,0,0,0,0,0,0,0,0,0
3526.151194877307,0,2062.7052644424293,0,0,0,0,0,0,0,0,0,0
3507.6034149240318,0,1971.397800810081,0,0,0,0,0,0,0,0,0,0
2459.6935723471624,0,2699.070740859213,0,0,0,0,0,0,0,0,0,0
2486.327665138284,0,3080.669329671226,0,0,0,0,0,0,0,0,0,0
2439.07628166592,0,3033.143377076423,0,0,0,0,0,0,0,0,0,0
2449.952908829861,0,3301.6158337689903,0,0,0,0,0,0,0,0,0,0
2438.517992320459,0,3472.6082606633418,0,0,0,0,0,0,0,0,0,0
2446.1581836722776,0,3219.9638802395584,0,0,0,0,0,0,0,0,0,0
2441.657580878972,0,2797.1252903436757,0,0,0,0,0,0,0,0,0,0
1452.9747263235458,0,1832.9562190674235,0,0,0,0,0,0,0,0,0,0
2224.8394651284675,0,3479.5356244113414,0,0,0,0,0,0,0,0,0,0
1448.4367776821173,0,1775.5266028948158,0,0,0,0,0,0,0,0,0,0
2223.0275251059816,0,3622.8315583587064,0,0,0,0,0,0,0,0,0,0
1444.7937335841361,0,2013.9693156280441,0,0,0,0,0,0,0,0,0,0
2221.8448483673956,0,3527.1650213240487,0,0,0,0,0,0,0,0,0,0
1446.9721069367129,0,1791.4992546084559,0,0,0,0,0,0,0,0,0,0
2238.2890372393235,0,3252.6240128310665,0,0,0,0,0,0,0,0,0,0
2771.267980129839,0,2525.164520188072,0,0,0,0,0,0,0,0,0,0
3456.6961476743695,0,1977.3921146498128,0,0,0,0,0,0,0,0,0,0
3463.9314850265955,0,1727.3948123270573,0,0,0,0,0,0,0,0,0,0
3535.7343925850782,0,1613.38908469806,0,0,0,0,0,0,0,0,0,0
3576.162519298333,0,1929.480546875988,0,0,0,0,0,0,0,0,0,0
3585.139363112702,0,1765.215559982122,0,0,0,0,0,0,0,0,0,0
3593.0882156662833,0,1702.3248927356133,0,0,0,0,0,0,0,0,0,0
3600.1919060100613,0,1557.3450720393648,0,0,0,0,0,0,0,0,0,0
3567.164776635808,0,1527.1531165317767,0,0,0,0,0,0,0,0,0,0
2509.859465319721,0,1998.45709373818,0,0,0,0,0,0,0,0,0,0
2496.5895795741562,0,2224.1934037066253,0,0,0,0,0,0,0,0,0,0
2438.5577461802313,0,2375.846810464767,0,0,0,0,0,0,0,0,0,0
2435.995437981816,0,2463.105605904509,0,0,0,0,0,0,0,0,0,0
2449.649583201149,0,2510.706695645585,0,0,0,0,0,0,0,0,0,0
2415.009806505391,0,2139.489058419797,0,0,0,0,0,0,0,0,0,0
2453.620572785018,0,2372.7342608186477,0,0,0,0,0,0,0,0,0,0
1455.8001808092615,0,1688.3514404585765,0,0,0,0,0,0,0,0,0,0
2214.5565304922748,0,3017.070241387865,0,0,0,0,0,0,0,0,0,0
1444.2978689643758,0,1526.1585403059853,0,0,0,0,0,0,0,0,0,0
2213.326472287358,0,2640.4249671431567,0,0,0,0,0,0,0,0,0,0
1448.3086480004192,0,1477.5272175463836,0,0,0,0,0,0,0,0,0,0
2216.721030148269,0,3332.4336582574742,0,0,0,0,0,0,0,0,0,0
1444.2802480442779,0,1525.0684759202575,0,0,0,0,0,0,0,0,0,0
2234.186164142109,0,2704.777325761051,0,0,0,0,0,0,0,0,0,0
2117.501083653975,0,3132.644709081828,0,0,0,0,0,0,0,0,0,0
2619.82689867284,0,2511.995232524488,0,0,0,0,0,0,0,0,0,0
2700.705020583527,0,2308.211964915638,0,0,0,0,0,0,0,0,0,0
2747.4222152351617,0,1384.3546352497497,0,0,0,0,0,0,0,0,0,0
2791.7254808592074,0,1693.6135139059343,0,0,0,0,0,0,0,0,0,0
2798.400997079645,0,1648.7726805045568,0,0,0,0,0,0,0,0,0,0
2817.0112242708574,0,1557.8009345181902,0,0,0,0,0,0,0,0,0,0
2825.4264817882126,0,1445.3310590027827,0,0,0,0,0,0,0,0,0,0
2829.9034216777222,0,1421.869506130566,0,0,0,0,0,0,0,0,0,0
2824.9762957797725,0,1848.2948491882248,0,0,0,0,0,0,0,0,0,0
2842.970698868056,0,2068.598196204559,0,0,0,0,0,0,0,0,0,0
2049.401987355932,0,2800.6422615569895,0,0,0,0,0,0,0,0,0,0
1974.3350146523828,0,2450.89731861438,0,0,0,0,0,0,0,0,0,0
1452.4046478732596,0,1113.3129853420369,0,0,0,0,0,0,0,0,0,0
2227.376948027767,0,2735.2473524668417,0,0,0,0,0,0,0,0,0,0
1456.7743594581125,0,1717.4460998668133,0,0,0,0,0,0,0,0,0,0
2231.2597634314125,0,3440.551153622654,0,0,0,0,0,0,0,0,0,0
1348.3798698197331,0,1246.690113486826,0,0,0,0,0,0,0,0,0,0
2126.482610632175,0,3233.189811437422,0,0,0,0,0,0,0,0,0,0
1352.533897097336,0,1783.7898342405806,0,0,0,0,0,0,0,0,0,0
2128.4861621723016,0,3894.9279695866107,0,0,0,0,0,0,0,0,0,0
1349.4069123616694,0,2008.641987713122,0,0,0,0,0,0,0,0,0,0
2135.0929055343067,0,4125.943213323915,0,0,0,0,0,0,0,0,0,0
1358.3547902841021,0,1927.512104777017,0,0,0,0,0,0,0,0,0,0
1372.949091065158,0,500.35869948827605,0,0,0,0,0,0,0,0,0,0
2422.580187067706,0,4430.418376393361,0,0,0,0,0,0,0,0,0,0
2426.1283135573262,0,3639.074975002733,0,0,0,0,0,0,0,0,0,0
2406.222264419554,0,3894.7494625820455,0,0,0,0,0,0,0,0,0,0
2384.0073622121577,0,3807.0478436778276,0,0,0,0,0,0,0,0,0,0
2377.536204630984,0,3837.5716455407955,0,0,0,0,0,0,0,0,0,0
2391.3351056513625,0,3416.471042464301,0,0,0,0,0,0,0,0,0,0
2365.5475136431464,0,4006.8796423019335,0,0,0,0,0,0,0,0,0,0
2378.3890282326392,0,4006.459892607845,0,0,0,0,0,0,0,0,0,0
1321.8121941165027,0,2529.3876229074644,0,0,0,0,0,0,0,0,0,0
1821.5392779082847,0,3973.8614272052623,0,0,0,0,0,0,0,0,0,0
