Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,0.000000E+00,3.819673E+04,0.000000E+00,2.246284E+00,0.000000E+00,1.449127E+05,0.000000E+00,8.522544E+00,3.974716E+05,1.286240E+05,2.061917E+01,7.572443E+00
02:00:00,0.000000E+00,4.055818E+04,0.000000E+00,2.385489E+00,0.000000E+00,1.541408E+05,0.000000E+00,9.067530E+00,8.287492E+04,2.001138E+05,3.327382E+00,1.191814E+01
03:00:00,0.000000E+00,4.146807E+04,0.000000E+00,2.439486E+00,0.000000E+00,1.614606E+05,0.000000E+00,9.501272E+00,1.783259E+05,2.495774E+05,7.191126E+00,1.469713E+01
04:00:00,0.000000E+00,4.183062E+04,0.000000E+00,2.461471E+00,0.000000E+00,1.677403E+05,0.000000E+00,9.873779E+00,2.076846E+05,2.741143E+05,8.330170E+00,1.613921E+01
05:00:00,0.000000E+00,4.177791E+04,0.000000E+00,2.458578E+00,0.000000E+00,1.734061E+05,0.000000E+00,1.020794E+01,2.336765E+05,2.909894E+05,9.368954E+00,1.713362E+01
06:00:00,0.000000E+00,5.118131E+04,0.000000E+00,3.012317E+00,0.000000E+00,1.865288E+05,0.000000E+00,1.098087E+01,2.481713E+05,3.182778E+05,9.949279E+00,1.874057E+01
07:00:00,0.000000E+00,6.517513E+04,0.000000E+00,3.837197E+00,0.000000E+00,2.078045E+05,0.000000E+00,1.223408E+01,2.571414E+05,3.608584E+05,1.030825E+01,2.124842E+01
08:00:00,0.000000E+00,8.052501E+04,0.000000E+00,4.744830E+00,1.917170E+03,2.278606E+05,7.719396E-02,1.341572E+01,2.628451E+05,4.075343E+05,1.053629E+01,2.399828E+01
09:00:00,6.034213E+04,1.826424E+05,2.639836E+00,1.204739E+01,1.422132E+05,4.087213E+05,6.084270E+00,2.757061E+01,4.224127E+05,6.571362E+05,1.856930E+01,4.460787E+01
10:00:00,1.481832E+05,3.282268E+05,7.223845E+00,2.704060E+01,2.240607E+05,6.135040E+05,1.109195E+01,5.108725E+01,5.856909E+05,8.675096E+05,2.944179E+01,7.241554E+01
