Electricity:Facility,ElectricityProduced:Facility,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature,ElectricityProduced:Total,Electricity:Load:Total,Electricity:Grid:ToLoad,Electricity:Grid:ToBattery,Electricity:Storage:ToLoad,Electricity:Storage:ToGrid,Electricity:Storage:StateOfCharge,ElectricityProduced:Generator:Total,ElectricityProduced:Generator:ToBattery,ElectricityProduced:Generator:ToLoad,ElectricityProduced:Generator:ToGrid,ElectricityProduced:PV:Total,ElectricityProduced:PV:ToBattery,ElectricityProduced:PV:ToLoad,ElectricityProduced:PV:ToGrid,ElectricityProduced:Wind:Total,ElectricityProduced:Wind:ToBattery,ElectricityProduced:Wind:ToLoad,ElectricityProduced:Wind:ToGrid
3062.4319349693146,0,6463.291415993747,0,0,0,0,0,0,0,0,0,0,0.0,618.272,618.272,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
2109.630758544482,0,498.81108532620004,0,0,0,0,0,0,0,0,0,0,0.0,673.245,673.245,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
2297.206811126467,0,633.136270794553,0,0,0,0,0,0,0,0,0,0,0.0,687.77,687.77,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
2346.7696181989495,0,633.547671782474,0,0,0,0,0,0,0,0,0,0,0.0,1090.68,1090.68,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
3721.5649869456533,0,1055.2271179909214,0,0,0,0,0,0,0,0,0,0,0.0,1856.42,1856.42,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
6334.357431266554,0,4844.524988792483,0,0,0,0,0,0,0,0,0,0,0.0,2298.06,2298.06,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
7841.300432446663,0,9102.406076007772,0,0,0,0,0,0,0,0,0,0,0.0,2370.13,2370.13,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
8087.237738139998,0,18325.132204782967,0,0,0,0,0,0,0,0,0,0,0.0,2690.51,2690.51,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
9180.419125840686,0,18909.936307283657,0,0,0,0,0,0,0,0,0,0,7.45002,2926.32,2918.87,0,0,0,0,0,0,0,0,7.45002,0,7.45002,0.0,0,0,0,0
9985.010047424286,0,17913.235774575747,0,0,0,0,0,0,0,0,0,0,36.2434,3449.91,3413.67,0,0,0,0,0,0,0,0,36.2434,0,36.2434,0.0,0,0,0,0
11771.587042627802,0,18647.48759192601,0,0,0,0,0,0,0,0,0,0,239.307,3615.36,3376.05,0,0,0,0,0,0,0,0,239.307,0,239.307,0.0,0,0,0,0
12336.128389143563,0,17834.855530206285,0,0,0,0,0,0,0,0,0,0,51.6468,3328.67,3277.02,0,0,0,0,0,0,0,0,51.6468,0,51.6468,0.0,0,0,0,0
11357.90002019954,0,16641.734333167853,0,0,0,0,0,0,0,0,0,0,34.4312,3468.3,3433.87,0,0,0,0,0,0,0,0,34.4312,0,34.4312,0.0,0,0,0,0
11834.345679721351,0,15318.170617338357,0,0,0,0,0,0,0,0,0,0,73.6948,3347.02,3273.33,0,0,0,0,0,0,0,0,73.6948,0,73.6948,0.0,0,0,0,0
11420.521932149994,0,15790.561837271429,0,0,0,0,0,0,0,0,0,0,1.00676,3255.2,3254.2,0,0,0,0,0,0,0,0,1.00676,0,1.00676,0.0,0,0,0,0
11107.216008590147,0,16583.616250152223,0,0,0,0,0,0,0,0,0,0,0.0,3524.46,3524.46,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
12025.956531149799,0,17148.954047695,0,0,0,0,0,0,0,0,0,0,0.0,3439.87,3439.87,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
11737.317893951287,0,17057.86869471585,0,0,0,0,0,0,0,0,0,0,0.0,3270.94,3270.94,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
11160.898199041501,0,16656.520888779472,0,0,0,0,0,0,0,0,0,0,0.0,3013.69,3013.69,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
10283.1489370733,0,16164.588621480774,0,0,0,0,0,0,0,0,0,0,0.0,3378.36,3378.36,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
11527.451399744932,0,16109.264497071501,0,0,0,0,0,0,0,0,0,0,0.0,2829.98,2829.98,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
9656.281514858445,0,16500.742695584722,0,0,0,0,0,0,0,0,0,0,0.0,1960.2,1960.2,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
6688.474523026907,0,16847.543184597893,0,0,0,0,0,0,0,0,0,0,0.0,1264.23,1264.23,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
4313.727548998611,0,17426.72597801219,0,0,0,0,0,0,0,0,0,0,0.0,818.718,818.718,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
2793.58251976078,0,6464.704245723697,0,0,0,0,0,0,0,0,0,0,0.0,880.45,880.45,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
3004.2206890578336,0,513.7290420934089,0,0,0,0,0,0,0,0,0,0,0.0,673.245,673.245,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
2297.2069711003464,0,633.136270794553,0,0,0,0,0,0,0,0,0,0,0.0,618.272,618.272,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
2109.6307315812896,0,623.6437262386801,0,0,0,0,0,0,0,0,0,0,0.0,1583.27,1583.27,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
5402.356130395765,0,6928.689166759446,0,0,0,0,0,0,0,0,0,0,0.0,1636.2,1636.2,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
5582.945909667436,0,3800.6720277228787,0,0,0,0,0,0,0,0,0,0,0.0,1643.2,1643.2,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
5606.834470762201,0,8454.374867084345,0,0,0,0,0,0,0,0,0,0,0.0,2379.48,2379.48,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
8119.121333187947,0,19852.433246348402,0,0,0,0,0,0,0,0,0,0,100.072,2691.39,2591.32,0,0,0,0,0,0,0,0,100.072,0,100.072,0.0,0,0,0,0
9183.401012355213,0,19403.55054602693,0,0,0,0,0,0,0,0,0,0,276.255,2927.46,2651.21,0,0,0,0,0,0,0,0,276.255,0,276.255,0.0,0,0,0,0
9988.924599958622,0,18485.665550791917,0,0,0,0,0,0,0,0,0,0,264.375,3450.26,3185.88,0,0,0,0,0,0,0,0,264.375,0,264.375,0.0,0,0,0,0
11772.769686386458,0,19188.779439412614,0,0,0,0,0,0,0,0,0,0,280.081,3614.98,3334.9,0,0,0,0,0,0,0,0,280.081,0,280.081,0.0,0,0,0,0
12334.820573468325,0,18047.87294038983,0,0,0,0,0,0,0,0,0,0,241.924,3327.73,3085.8,0,0,0,0,0,0,0,0,241.924,0,241.924,0.0,0,0,0,0
11354.68183709536,0,16557.911583514044,0,0,0,0,0,0,0,0,0,0,340.184,3379.66,3039.48,0,0,0,0,0,0,0,0,340.184,0,340.184,0.0,0,0,0,0
11531.881676100571,0,16165.382490275837,0,0,0,0,0,0,0,0,0,0,376.025,3339.65,2963.62,0,0,0,0,0,0,0,0,376.025,0,376.025,0.0,0,0,0,0
11395.354439203053,0,16130.084935655605,0,0,0,0,0,0,0,0,0,0,214.541,3245.82,3031.28,0,0,0,0,0,0,0,0,214.541,0,214.541,0.0,0,0,0,0
11075.211221072557,0,17304.836117558494,0,0,0,0,0,0,0,0,0,0,47.217,3509.94,3462.72,0,0,0,0,0,0,0,0,47.217,0,47.217,0.0,0,0,0,0
11976.413883488385,0,17447.995928502125,0,0,0,0,0,0,0,0,0,0,0.0,3440.79,3440.79,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
11740.475674798494,0,17599.24527162987,0,0,0,0,0,0,0,0,0,0,0.0,3307.67,3307.67,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
11286.228248727288,0,16604.794278276175,0,0,0,0,0,0,0,0,0,0,0.0,3013.96,3013.96,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
10284.048910199273,0,16540.143552240897,0,0,0,0,0,0,0,0,0,0,0.0,3379.17,3379.17,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
11530.219747414072,0,16504.93937120268,0,0,0,0,0,0,0,0,0,0,0.0,2831.32,2831.32,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
9660.877706227568,0,16931.877008827145,0,0,0,0,0,0,0,0,0,0,0.0,1960.76,1960.76,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
6690.376260297678,0,17303.46209021391,0,0,0,0,0,0,0,0,0,0,0.0,1264.67,1264.67,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
4315.23343791199,0,17962.005663337062,0,0,0,0,0,0,0,0,0,0,0.0,818.663,818.663,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
2793.3942208888066,0,6466.21900255395,0,0,0,0,0,0,0,0,0,0,0.0,618.272,618.272,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
2109.63075966621,0,540.4220410786684,0,0,0,0,0,0,0,0,0,0,0.0,673.245,673.245,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
2297.2067605280417,0,633.136270794553,0,0,0,0,0,0,0,0,0,0,0.0,878.625,878.625,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
2997.9944458236196,0,597.0064812097576,0,0,0,0,0,0,0,0,0,0,0.0,1560.07,1560.07,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
5323.185257887024,0,7160.528817441757,0,0,0,0,0,0,0,0,0,0,0.0,1594.35,1594.35,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
5440.150782065955,0,3763.4378779909644,0,0,0,0,0,0,0,0,0,0,0.0,2469.66,2469.66,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
8426.848732614248,0,12331.154873961175,0,0,0,0,0,0,0,0,0,0,0.0,2354.72,2354.72,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
8034.654877992555,0,22524.855561591452,0,0,0,0,0,0,0,0,0,0,105.81,2697.01,2591.2,0,0,0,0,0,0,0,0,105.81,0,105.81,0.0,0,0,0,0
9202.580824282226,0,22366.692977690604,0,0,0,0,0,0,0,0,0,0,278.571,2930.99,2652.42,0,0,0,0,0,0,0,0,278.571,0,278.571,0.0,0,0,0,0
10000.95752678635,0,22951.599912469945,0,0,0,0,0,0,0,0,0,0,400.489,3452.26,3051.77,0,0,0,0,0,0,0,0,400.489,0,400.489,0.0,0,0,0,0
11779.590608096443,0,22979.76498655234,0,0,0,0,0,0,0,0,0,0,470.157,3618.27,3148.12,0,0,0,0,0,0,0,0,470.157,0,470.157,0.0,0,0,0,0
12346.067003904951,0,21959.97698433823,0,0,0,0,0,0,0,0,0,0,500.158,3330.56,2830.4,0,0,0,0,0,0,0,0,500.158,0,500.158,0.0,0,0,0,0
11364.34429205432,0,20644.71726977986,0,0,0,0,0,0,0,0,0,0,454.754,3381.68,2926.93,0,0,0,0,0,0,0,0,454.754,0,454.754,0.0,0,0,0,0
11538.78884902527,0,20409.43745422755,0,0,0,0,0,0,0,0,0,0,221.789,3164.61,2942.82,0,0,0,0,0,0,0,0,221.789,0,221.789,0.0,0,0,0,0
10798.089986270845,0,20990.64473864528,0,0,0,0,0,0,0,0,0,0,199.741,3067.6,2867.86,0,0,0,0,0,0,0,0,199.741,0,199.741,0.0,0,0,0,0
10467.085097204403,0,22487.29020487984,0,0,0,0,0,0,0,0,0,0,36.2434,3329.98,3293.73,0,0,0,0,0,0,0,0,36.2434,0,36.2434,0.0,0,0,0,0
11362.354060194879,0,22828.355906552715,0,0,0,0,0,0,0,0,0,0,0.0,3444.45,3444.45,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
11752.948661457693,0,22453.11700202937,0,0,0,0,0,0,0,0,0,0,0.0,3201.09,3201.09,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
10922.576130077772,0,20939.160804174022,0,0,0,0,0,0,0,0,0,0,0.0,3017.29,3017.29,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
10295.412541364452,0,20885.415924519817,0,0,0,0,0,0,0,0,0,0,0.0,3380.79,3380.79,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
11535.726879500984,0,20454.474851709343,0,0,0,0,0,0,0,0,0,0,0.0,2836.13,2836.13,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
9677.283826845549,0,21544.561311225167,0,0,0,0,0,0,0,0,0,0,0.0,1964.22,1964.22,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
6702.200150494647,0,21370.734236326098,0,0,0,0,0,0,0,0,0,0,0.0,1268.17,1268.17,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
4327.170523784587,0,22083.084895222244,0,0,0,0,0,0,0,0,0,0,0.0,1371.39,1371.39,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
4679.363290653587,0,10041.69108083426,0,0,0,0,0,0,0,0,0,0,0.0,618.22,618.22,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
2109.4550216839743,0,567.7385720576892,0,0,0,0,0,0,0,0,0,0,0.0,673.245,673.245,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
2297.2070091453593,0,633.136270794553,0,0,0,0,0,0,0,0,0,0,0.0,798.96,798.96,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
2726.1654554599113,0,1031.3873393572726,0,0,0,0,0,0,0,0,0,0,0.0,821.617,821.617,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
2803.4747101606163,0,1119.9535752415975,0,0,0,0,0,0,0,0,0,0,0.0,2213.24,2213.24,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
7551.883369399819,0,8668.486548238756,0,0,0,0,0,0,0,0,0,0,0.0,1643.26,1643.26,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
5607.045338467563,0,8457.296582299332,0,0,0,0,0,0,0,0,0,0,0.0,2361.81,2361.81,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
8058.834310754313,0,29721.40860676347,0,0,0,0,0,0,0,0,0,0,80.2388,2705.22,2624.98,0,0,0,0,0,0,0,0,80.2388,0,80.2388,0.0,0,0,0,0
9230.591654468917,0,28633.159428076633,0,0,0,0,0,0,0,0,0,0,79.1313,2933.09,2853.96,0,0,0,0,0,0,0,0,79.1313,0,79.1313,0.0,0,0,0,0
