Electricity:Facility,ElectricityProduced:Facility,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature,ElectricityProduced:Total,Electricity:Load:Total,Electricity:Grid:ToLoad,Electricity:Grid:ToBattery,Electricity:Storage:ToLoad,Electricity:Storage:ToGrid,Electricity:Storage:StateOfCharge,ElectricityProduced:Generator:Total,ElectricityProduced:Generator:ToBattery,ElectricityProduced:Generator:ToLoad,ElectricityProduced:Generator:ToGrid,ElectricityProduced:PV:Total,ElectricityProduced:PV:ToBattery,ElectricityProduced:PV:ToLoad,ElectricityProduced:PV:ToGrid,ElectricityProduced:Wind:Total,ElectricityProduced:Wind:ToBattery,ElectricityProduced:Wind:ToLoad,ElectricityProduced:Wind:ToGrid
2317.3289277819536,0,1549.4337122756156,0,0,0,0,0,0,0,0,0,0,0.0,430.447,430.447,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
1468.746060050042,0,389.10709018074834,0,0,0,0,0,0,0,0,0,0,0.0,671.895,671.895,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
2292.601255528994,0,1667.019132631946,0,0,0,0,0,0,0,0,0,0,0.0,528.861,528.861,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
1804.5496161729695,0,450.38238256936467,0,0,0,0,0,0,0,0,0,0,0.0,694.119,694.119,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
2368.4322326721613,0,3054.522371517561,0,0,0,0,0,0,0,0,0,0,0.0,807.933,807.933,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
2756.7818116782373,0,3237.4561731368326,0,0,0,0,0,0,0,0,0,0,0.0,1275.58,1275.58,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
4352.456852590242,0,2865.326431496042,0,0,0,0,0,0,0,0,0,0,0.0,1352.24,1352.24,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
4614.020996177653,0,2950.8912118002972,0,0,0,0,0,0,0,0,0,0,0.0,1211.06,1211.06,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
4132.293573797101,0,2962.02045806868,0,0,0,0,0,0,0,0,0,0,1.5447,1213.63,1212.09,0,0,0,0,0,0,0,0,1.5447,0,1.5447,0.0,0,0,0,0
4141.084351203407,0,2557.5591544842505,0,0,0,0,0,0,0,0,0,0,7.51473,1230.39,1222.88,0,0,0,0,0,0,0,0,7.51473,0,7.51473,0.0,0,0,0,0
4198.27439426009,0,2467.514666588528,0,0,0,0,0,0,0,0,0,0,49.6181,1216.86,1167.24,0,0,0,0,0,0,0,0,49.6181,0,49.6181,0.0,0,0,0,0
4152.090328093671,0,2466.842928128613,0,0,0,0,0,0,0,0,0,0,10.7085,1243.12,1232.41,0,0,0,0,0,0,0,0,10.7085,0,10.7085,0.0,0,0,0,0
4241.690676624658,0,2111.0176648165893,0,0,0,0,0,0,0,0,0,0,7.139,1237.79,1230.65,0,0,0,0,0,0,0,0,7.139,0,7.139,0.0,0,0,0,0
4223.509236193962,0,2025.929870252773,0,0,0,0,0,0,0,0,0,0,15.28,1261.67,1246.39,0,0,0,0,0,0,0,0,15.28,0,15.28,0.0,0,0,0,0
4305.010300789642,0,1924.1792042349643,0,0,0,0,0,0,0,0,0,0,0.208743,1237.54,1237.33,0,0,0,0,0,0,0,0,0.208743,0,0.208743,0.0,0,0,0,0
4222.656678266694,0,2022.4471177675107,0,0,0,0,0,0,0,0,0,0,0.0,1257.12,1257.12,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
4289.460212772143,0,2004.5325730831914,0,0,0,0,0,0,0,0,0,0,0.0,1423.65,1423.65,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
4857.711666291847,0,1939.055813867322,0,0,0,0,0,0,0,0,0,0,0.0,889.768,889.768,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
3036.014842193738,0,2055.3631566232816,0,0,0,0,0,0,0,0,0,0,0.0,874.007,874.007,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
2982.236196425863,0,2157.8339616567664,0,0,0,0,0,0,0,0,0,0,0.0,559.402,559.402,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
1908.7600140460102,0,2792.788925101433,0,0,0,0,0,0,0,0,0,0,0.0,588.339,588.339,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
2007.4981514612039,0,2986.3411659562025,0,0,0,0,0,0,0,0,0,0,0.0,676.613,676.613,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
2308.6995182507303,0,1230.7980822841314,0,0,0,0,0,0,0,0,0,0,0.0,363.771,363.771,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
1241.2396757721804,0,130.18418579345322,0,0,0,0,0,0,0,0,0,0,0.0,676.123,676.123,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
