Electricity:Facility,ElectricityProduced:Facility,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature
102.39833477168679,0,189.05225977262498,0,0,0,0,0,0,0,0,0,0
100.03843071234742,0,220.15062950355804,0,0,0,0,0,0,0,0,0,0
98.80289842231035,0,191.20285824042514,0,0,0,0,0,0,0,0,0,0
98.12950560604096,0,129.6879313527771,0,0,0,0,0,0,0,0,0,0
101.12377583444585,0,184.1536895377397,0,0,0,0,0,0,0,0,0,0
109.18505701368612,0,119.40295221360495,0,0,0,0,0,0,0,0,0,0
222.69319429807499,0,148.5495682857342,0,0,0,0,0,0,0,0,0,0
180.51010913036495,0,157.47117102757227,0,0,0,0,0,0,0,0,0,0
209.8593672980767,0,163.04436728436053,0,0,0,0,0,0,0,0,0,0
155.6692611101308,0,133.18179180523055,0,0,0,0,0,0,0,0,0,0
156.30493770106094,0,144.50644020977666,0,0,0,0,0,0,0,0,0,0
156.50570859932986,0,155.53341368593527,0,0,0,0,0,0,0,0,0,0
154.85190567384512,0,115.81611559024346,0,0,0,0,0,0,0,0,0,0
152.45170998406536,0,114.25664649365642,0,0,0,0,0,0,0,0,0,0
151.43732970610827,0,107.05357256148152,0,0,0,0,0,0,0,0,0,0
156.75894312633108,0,136.07309259789187,0,0,0,0,0,0,0,0,0,0
170.62489287575104,0,135.42952340488566,0,0,0,0,0,0,0,0,0,0
204.11288876055698,0,134.62596306381224,0,0,0,0,0,0,0,0,0,0
206.94261531565104,0,175.16022421549107,0,0,0,0,0,0,0,0,0,0
216.89375846167937,0,163.56732819884766,0,0,0,0,0,0,0,0,0,0
243.23481578980295,0,146.34545536356194,0,0,0,0,0,0,0,0,0,0
192.46032439429882,0,167.8878717345842,0,0,0,0,0,0,0,0,0,0
176.24969898739425,0,222.3076215004299,0,0,0,0,0,0,0,0,0,0
115.64633498427453,0,218.61069084505044,0,0,0,0,0,0,0,0,0,0
102.41357571290565,0,201.0320387440558,0,0,0,0,0,0,0,0,0,0
100.13546261048965,0,285.04195223569195,0,0,0,0,0,0,0,0,0,0
98.88278794474377,0,244.92378594792805,0,0,0,0,0,0,0,0,0,0
98.27629404051845,0,242.44005968843157,0,0,0,0,0,0,0,0,0,0
101.20096256607773,0,235.88696802050777,0,0,0,0,0,0,0,0,0,0
155.3121148360273,0,223.9684409313446,0,0,0,0,0,0,0,0,0,0
172.12365698847222,0,228.07485596385553,0,0,0,0,0,0,0,0,0,0
231.63827097467507,0,209.9397441156647,0,0,0,0,0,0,0,0,0,0
161.69601218425052,0,200.44664268638817,0,0,0,0,0,0,0,0,0,0
